ko:K11175	clm:UPTC16712_1474
ko:K09760	clm:UPTC16712_1476
ko:K07391	clm:UPTC16712_1478
ko:K01462	clm:UPTC16712_1479
ko:K01358	clm:UPTC16712_1481
ko:K03545	clm:UPTC16712_1482
ko:K01495	clm:UPTC16712_1483
ko:K02412	clm:UPTC16712_1484
ko:K04487	clm:UPTC16712_1488
ko:K13819	clm:UPTC16712_1489
ko:K03313	clm:UPTC16712_1490
ko:K03313	clm:UPTC16712_1491
ko:K01736	clm:UPTC16712_1495
ko:K03685	clm:UPTC16712_1496
ko:K03469	clm:UPTC16712_1497
ko:K00566	clm:UPTC16712_1500
ko:K05367	clm:UPTC16712_1502
ko:K06894	clm:UPTC16712_1503
ko:K16052	clm:UPTC16712_1506
ko:K01673	clm:UPTC16712_1507
ko:K03075	clm:UPTC16712_1509
ko:K02838	clm:UPTC16712_1510
ko:K00762	clm:UPTC16712_1511
ko:K00573	clm:UPTC16712_1516
ko:K03827	clm:UPTC16712_1517
ko:K02313	clm:UPTC16712_0001
ko:K02338	clm:UPTC16712_0002
ko:K02470	clm:UPTC16712_0003
ko:K14048	clm:UPTC16712_0005
ko:K01428	clm:UPTC16712_0006
ko:K03187	clm:UPTC16712_0007
ko:K03188	clm:UPTC16712_0008
ko:K03189	clm:UPTC16712_0009
ko:K03190	clm:UPTC16712_0010
ko:K09457	clm:UPTC16712_0011
ko:K06193	clm:UPTC16712_0013
ko:K01937	clm:UPTC16712_0015
ko:K07462	clm:UPTC16712_0016
ko:K02835	clm:UPTC16712_0019
ko:K02968	clm:UPTC16712_0020
ko:K06178	clm:UPTC16712_0021
ko:K12574	clm:UPTC16712_0023
ko:K02528	clm:UPTC16712_0024
ko:K06941	clm:UPTC16712_0026
ko:K06180	clm:UPTC16712_0028
ko:K01756	clm:UPTC16712_0029
ko:K06153	clm:UPTC16712_0032
ko:K01868	clm:UPTC16712_0033
ko:K02520	clm:UPTC16712_0034
ko:K07318	clm:UPTC16712_0035
ko:K02916	clm:UPTC16712_0043
ko:K02887	clm:UPTC16712_0044
ko:K09816	clm:UPTC16712_0046
ko:K09817	clm:UPTC16712_0047
ko:K09815	clm:UPTC16712_0048
ko:K03657	clm:UPTC16712_0800
ko:K11065	clm:UPTC16712_0801
ko:K07304	clm:UPTC16712_0804
ko:K04651	clm:UPTC16712_0805
ko:K04655	clm:UPTC16712_0806
ko:K04654	clm:UPTC16712_0807
ko:K04653	clm:UPTC16712_0808
ko:K04652	clm:UPTC16712_0809
ko:K04656	clm:UPTC16712_0810
ko:K05995	clm:UPTC16712_0812
ko:K07043	clm:UPTC16712_0813
ko:K02036	clm:UPTC16712_0816
ko:K02038	clm:UPTC16712_0817
