ko:K01803	cpsn:B712_0342
ko:K03075	cpsn:B712_0344
ko:K01462	cpsn:B712_0345
ko:K06287	cpsn:B712_0348
ko:K03733	cpsn:B712_0350
ko:K01338	cpsn:B712_0353
ko:K02970	cpsn:B712_0355
ko:K03686	cpsn:B712_0356
ko:K11381	cpsn:B712_0357
ko:K09747	cpsn:B712_0364
ko:K02343	cpsn:B712_0365
ko:K07037	cpsn:B712_0366
ko:K01749	cpsn:B712_0370
ko:K04485	cpsn:B712_0371
ko:K03685	cpsn:B712_0372
ko:K04564	cpsn:B712_0375
ko:K01963	cpsn:B712_0376
ko:K00566	cpsn:B712_0384
ko:K03696	cpsn:B712_0385
ko:K03800	cpsn:B712_0387
ko:K02437	cpsn:B712_0390
ko:K06999	cpsn:B712_0556
ko:K07566	cpsn:B712_0558
ko:K06966	cpsn:B712_0562
ko:K03179	cpsn:B712_0563
ko:K03186	cpsn:B712_0564
ko:K03787	cpsn:B712_0568
ko:K07039	cpsn:B712_0570
ko:K14441	cpsn:B712_0576
ko:K02913	cpsn:B712_0577
ko:K09808	cpsn:B712_0578
ko:K02871	cpsn:B712_0581
ko:K02996	cpsn:B712_0582
ko:K01057	cpsn:B712_0588
ko:K00036	cpsn:B712_0589
ko:K15580	cpsn:B712_0590
ko:K03402	cpsn:B712_0592
ko:K02029	cpsn:B712_0593
ko:K07058	cpsn:B712_0597
ko:K01783	cpsn:B712_0600
ko:K02356	cpsn:B712_0601
ko:K02160	cpsn:B712_0602
ko:K01961	cpsn:B712_0603
ko:K06180	cpsn:B712_0028
ko:K02337	cpsn:B712_0085
ko:K07783	cpsn:B712_0086
ko:K01892	cpsn:B712_0088
ko:K01876	cpsn:B712_0089
ko:K03216	cpsn:B712_0091
ko:K03671	cpsn:B712_0092
ko:K06925	cpsn:B712_0097
ko:K00350	cpsn:B712_0393
ko:K00349	cpsn:B712_0394
ko:K00348	cpsn:B712_0395
ko:K00347	cpsn:B712_0396
ko:K02313	cpsn:B712_0399
ko:K03438	cpsn:B712_0402
ko:K03587	cpsn:B712_0404
ko:K01928	cpsn:B712_0407
ko:K01448	cpsn:B712_0408
ko:K01962	cpsn:B712_0412
ko:K07083	cpsn:B712_0415
ko:K01951	cpsn:B712_0617
ko:K09125	cpsn:B712_0626
ko:K00773	cpsn:B712_0627
ko:K03611	cpsn:B712_0631
ko:K00979	cpsn:B712_0640
ko:K01937	cpsn:B712_0641
ko:K07447	cpsn:B712_0642
ko:K15581	cpsn:B712_0647
ko:K03319	cpsn:B712_0652
ko:K02527	cpsn:B712_0658
ko:K01869	cpsn:B712_0659
ko:K01972	cpsn:B712_0663
ko:K03695	cpsn:B712_0674
ko:K02065	cpsn:B712_0676
ko:K02066	cpsn:B712_0677
ko:K01845	cpsn:B712_0678
ko:K07735	cpsn:B712_0679
ko:K08999	cpsn:B712_0680
ko:K01807	cpsn:B712_0681
ko:K08602	cpsn:B712_0689
ko:K04078	cpsn:B712_0690
ko:K04077	cpsn:B712_0691
ko:K03581	cpsn:B712_0697
ko:K01874	cpsn:B712_0698
ko:K00942	cpsn:B712_0700
ko:K03470	cpsn:B712_0701
ko:K02884	cpsn:B712_0702
ko:K00554	cpsn:B712_0703
ko:K02959	cpsn:B712_0704
ko:K03106	cpsn:B712_0705
ko:K02493	cpsn:B712_0706
ko:K02835	cpsn:B712_0707
ko:K02909	cpsn:B712_0708
ko:K03100	cpsn:B712_0710
ko:K01870	cpsn:B712_0711
ko:K07175	cpsn:B712_0713
ko:K00426	cpsn:B712_0717
ko:K00425	cpsn:B712_0718
ko:K02517	cpsn:B712_0721
ko:K00873	cpsn:B712_0723
ko:K03701	cpsn:B712_0724
ko:K01873	cpsn:B712_0726
ko:K03046	cpsn:B712_0738
ko:K03043	cpsn:B712_0739
ko:K02935	cpsn:B712_0741
ko:K02864	cpsn:B712_0742
ko:K02863	cpsn:B712_0743
ko:K02867	cpsn:B712_0744
ko:K02601	cpsn:B712_0745
ko:K03073	cpsn:B712_0746
ko:K02358	cpsn:B712_0748
ko:K02518	cpsn:B712_0750
ko:K03523	cpsn:B712_0754
ko:K01714	cpsn:B712_0760
ko:K00928	cpsn:B712_0761
ko:K00133	cpsn:B712_0762
ko:K00215	cpsn:B712_0763
ko:K09125	cpsn:B712_0766
ko:K01012	cpsn:B712_0769
