ko:K01783	tpp:TPASS_0945
ko:K03501	tpp:TPASS_0946
ko:K06346	tpp:TPASS_0948
ko:K03217	tpp:TPASS_0949
ko:K02914	tpp:TPASS_0951
ko:K02395	tpp:TPASS_0959
ko:K02392	tpp:TPASS_0960
ko:K02392	tpp:TPASS_0961
ko:K02003	tpp:TPASS_0964
ko:K07230	tpp:TPASS_0971
ko:K07243	tpp:TPASS_0972
ko:K01889	tpp:TPASS_0973
ko:K07056	tpp:TPASS_0975
ko:K01358	tpp:TPASS_1041
ko:K01358	tpp:TPASS_0507
ko:K01874	tpp:TPASS_0798
ko:K00567	tpp:TPASS_0141
ko:K06976	tpp:TPASS_0815
ko:K07107	tpp:TPASS_0156
ko:K01881	tpp:TPASS_0160
ko:K03551	tpp:TPASS_0162
ko:K03664	tpp:TPASS_0184
ko:K03100	tpp:TPASS_0185
ko:K02358	tpp:TPASS_0187
ko:K02946	tpp:TPASS_0188
ko:K02906	tpp:TPASS_0189
ko:K02926	tpp:TPASS_0190
ko:K02892	tpp:TPASS_0191
ko:K02886	tpp:TPASS_0192
ko:K02965	tpp:TPASS_0193
ko:K02890	tpp:TPASS_0194
ko:K02982	tpp:TPASS_0195
ko:K02878	tpp:TPASS_0196
ko:K02904	tpp:TPASS_0197
ko:K02961	tpp:TPASS_0198
ko:K02874	tpp:TPASS_0199
ko:K02895	tpp:TPASS_0200
ko:K02931	tpp:TPASS_0201
ko:K02954	tpp:TPASS_0202
ko:K02994	tpp:TPASS_0203
ko:K02933	tpp:TPASS_0204
ko:K02881	tpp:TPASS_0205
ko:K02988	tpp:TPASS_0206a
ko:K02907	tpp:TPASS_0206b
ko:K02876	tpp:TPASS_0207
ko:K03076	tpp:TPASS_0208
ko:K02919	tpp:TPASS_0209
ko:K02952	tpp:TPASS_0210
ko:K02948	tpp:TPASS_0211
ko:K03040	tpp:TPASS_0212
ko:K02879	tpp:TPASS_0213
ko:K03687	tpp:TPASS_0215
ko:K04043	tpp:TPASS_0216
ko:K01091	tpp:TPASS_0554
ko:K02121	tpp:TPASS_0424
ko:K01950	tpp:TPASS_0780
ko:K03820	tpp:TPASS_0417
ko:K03820	tpp:TPASS_0252
ko:K00575	tpp:TPASS_0630
ko:K03496	tpp:TPASS_0272
ko:K02518	tpp:TPASS_0097
ko:K03686	tpp:TPASS_0098
ko:K09903	tpp:TPASS_0099
ko:K06196	tpp:TPASS_0101
ko:K03657	tpp:TPASS_0102
ko:K03654	tpp:TPASS_0103
ko:K02335	tpp:TPASS_0105
ko:K03451	tpp:TPASS_0106
ko:K03218	tpp:TPASS_0109
ko:K03092	tpp:TPASS_0111
ko:K01372	tpp:TPASS_0112
ko:K04088	tpp:TPASS_0113
ko:K04087	tpp:TPASS_0114
ko:K03702	tpp:TPASS_0116
ko:K02072	tpp:TPASS_0119
ko:K02071	tpp:TPASS_0120
ko:K06942	tpp:TPASS_0124
ko:K01142	tpp:TPASS_0125
ko:K03499	tpp:TPASS_0139
ko:K02063	tpp:TPASS_0143
ko:K02064	tpp:TPASS_0144
ko:K09775	tpp:TPASS_0153
ko:K00526	tpp:TPASS_0053
ko:K10112	tpp:TPASS_0804
ko:K01914	tpp:TPASS_0556
ko:K00876	tpp:TPASS_0667
ko:K02221	tpp:TPASS_0668
ko:K02337	tpp:TPASS_0669
ko:K03523	tpp:TPASS_0228
ko:K04066	tpp:TPASS_0230
ko:K06179	tpp:TPASS_0231
ko:K02913	tpp:TPASS_0234
ko:K03073	tpp:TPASS_0235
ko:K02601	tpp:TPASS_0236
ko:K02867	tpp:TPASS_0237
ko:K02863	tpp:TPASS_0238
ko:K02864	tpp:TPASS_0239
ko:K02935	tpp:TPASS_0240
