ko:K10773	nmq:NMBM04240196_1632
ko:K01207	nmq:NMBM04240196_1635
ko:K06173	nmq:NMBM04240196_1978
ko:K03147	nmq:NMBM04240196_1982
ko:K01676	nmq:NMBM04240196_0612
ko:K10764	nmq:NMBM04240196_0616
ko:K15984	nmq:NMBM04240196_0618
ko:K02621	nmq:NMBM04240196_0621
ko:K03304	nmq:NMBM04240196_0623
ko:K01872	nmq:NMBM04240196_0627
ko:K11073	nmq:NMBM04240196_0628
ko:K00995	nmq:NMBM04240196_0634
ko:K01693	nmq:NMBM04240196_0645
ko:K00817	nmq:NMBM04240196_0646
ko:K00013	nmq:NMBM04240196_0647
ko:K09968	nmq:NMBM04240196_0648
ko:K00765	nmq:NMBM04240196_0649
ko:K07152	nmq:NMBM04240196_0650
ko:K01652	nmq:NMBM04240196_0652
ko:K01653	nmq:NMBM04240196_0653
ko:K00053	nmq:NMBM04240196_0655
ko:K00611	nmq:NMBM04240196_0656
ko:K01682	nmq:NMBM04240196_0657
ko:K11720	nmq:NMBM04240196_0658
ko:K03596	nmq:NMBM04240196_1398
ko:K03100	nmq:NMBM04240196_1399
ko:K01738	nmq:NMBM04240196_1401
ko:K01778	nmq:NMBM04240196_1403
ko:K09792	nmq:NMBM04240196_1405
ko:K00962	nmq:NMBM04240196_1406
ko:K01923	nmq:NMBM04240196_1407
ko:K00067	nmq:NMBM04240196_1408
ko:K03564	nmq:NMBM04240196_1411
ko:K07262	nmq:NMBM04240196_1412
ko:K03666	nmq:NMBM04240196_1413
ko:K00950	nmq:NMBM04240196_1416
ko:K03183	nmq:NMBM04240196_1418
ko:K03631	nmq:NMBM04240196_1423
ko:K06024	nmq:NMBM04240196_1424
ko:K14540	nmq:NMBM04240196_1425
ko:K06958	nmq:NMBM04240196_1426
ko:K03179	nmq:NMBM04240196_1429
ko:K03181	nmq:NMBM04240196_1430
ko:K01935	nmq:NMBM04240196_1431
ko:K00833	nmq:NMBM04240196_1432
ko:K07113	nmq:NMBM04240196_1434
ko:K04764	nmq:NMBM04240196_1436
ko:K01890	nmq:NMBM04240196_1437
ko:K01889	nmq:NMBM04240196_1441
ko:K02887	nmq:NMBM04240196_1443
ko:K02916	nmq:NMBM04240196_1444
ko:K00337	nmq:NMBM04240196_0257
ko:K00338	nmq:NMBM04240196_0258
ko:K00339	nmq:NMBM04240196_0259
ko:K00340	nmq:NMBM04240196_0260
ko:K04095	nmq:NMBM04240196_0261
ko:K00341	nmq:NMBM04240196_0263
ko:K00342	nmq:NMBM04240196_0264
ko:K00343	nmq:NMBM04240196_0265
ko:K00795	nmq:NMBM04240196_0267
ko:K03602	nmq:NMBM04240196_0268
ko:K06949	nmq:NMBM04240196_0269
ko:K03550	nmq:NMBM04240196_0271
ko:K03642	nmq:NMBM04240196_0273
ko:K03216	nmq:NMBM04240196_0274
ko:K02170	nmq:NMBM04240196_0276
ko:K03654	nmq:NMBM04240196_0281
ko:K01609	nmq:NMBM04240196_0282
ko:K03980	nmq:NMBM04240196_0284
ko:K03673	nmq:NMBM04240196_0285
ko:K07102	nmq:NMBM04240196_0286
ko:K04744	nmq:NMBM04240196_0287
ko:K03771	nmq:NMBM04240196_0288
ko:K01147	nmq:NMBM04240196_0289
ko:K06966	nmq:NMBM04240196_0290
ko:K01756	nmq:NMBM04240196_0291
ko:K01669	nmq:NMBM04240196_0296
ko:K15977	nmq:NMBM04240196_0298
ko:K07078	nmq:NMBM04240196_0299
ko:K03673	nmq:NMBM04240196_0301
ko:K03106	nmq:NMBM04240196_0302
ko:K01448	nmq:NMBM04240196_1079
ko:K02471	nmq:NMBM04240196_1085
