ko:K00990	mtuc:J113_20205
ko:K04751	mtuc:J113_20210
ko:K03685	mtuc:J113_20295
ko:K00937	mtuc:J113_20795
ko:K03530	mtuc:J113_20810
ko:K01704	mtuc:J113_20815
ko:K01703	mtuc:J113_20820
ko:K00052	mtuc:J113_20860
ko:K02069	mtuc:J113_20905
ko:K00053	mtuc:J113_20915
ko:K01653	mtuc:J113_20920
ko:K02313	mtuc:J113_00005
ko:K02338	mtuc:J113_00010
ko:K03629	mtuc:J113_00015
ko:K02470	mtuc:J113_00025
ko:K02469	mtuc:J113_00030
ko:K00459	mtuc:J113_00145
ko:K07735	mtuc:J113_00260
ko:K01869	mtuc:J113_00275
ko:K01858	mtuc:J113_00305
ko:K02990	mtuc:J113_00340
ko:K02066	mtuc:J113_01200
ko:K06911	mtuc:J113_01300
ko:K03088	mtuc:J113_01305
ko:K05349	mtuc:J113_01320
ko:K01687	mtuc:J113_01340
ko:K03439	mtuc:J113_01480
ko:K00973	mtuc:J113_02405
ko:K14260	mtuc:J113_02420
ko:K11738	mtuc:J113_02490
ko:K04043	mtuc:J113_02510
ko:K03687	mtuc:J113_02515
ko:K01939	mtuc:J113_02565
ko:K06213	mtuc:J113_02595
ko:K01624	mtuc:J113_02600
ko:K03975	mtuc:J113_02605
ko:K07141	mtuc:J113_02640
ko:K09165	mtuc:J113_02695
ko:K00762	mtuc:J113_02710
ko:K03695	mtuc:J113_02720
ko:K08289	mtuc:J113_02785
ko:K02871	mtuc:J113_24105
ko:K06173	mtuc:J113_24195
ko:K02879	mtuc:J113_24200
ko:K03040	mtuc:J113_24205
ko:K02986	mtuc:J113_24210
ko:K02948	mtuc:J113_24215
ko:K02952	mtuc:J113_24220
ko:K02919	mtuc:J113_24225
ko:K02518	mtuc:J113_24230
ko:K01790	mtuc:J113_24245
ko:K01666	mtuc:J113_24260
ko:K01652	mtuc:J113_24265
ko:K02066	mtuc:J113_24430
ko:K02066	mtuc:J113_24435
ko:K02963	mtuc:J113_00350
ko:K02939	mtuc:J113_00355
ko:K00031	mtuc:J113_00425
ko:K01752	mtuc:J113_00440
ko:K00600	mtuc:J113_00445
ko:K02003	mtuc:J113_00465
ko:K14155	mtuc:J113_00475
ko:K12140	mtuc:J113_00550
ko:K12140	mtuc:J113_00555
ko:K02902	mtuc:J113_00720
ko:K00240	mtuc:J113_01735
ko:K00362	mtuc:J113_01795
ko:K00363	mtuc:J113_01800
ko:K02231	mtuc:J113_01805
ko:K02232	mtuc:J113_01810
ko:K02575	mtuc:J113_01840
ko:K03885	mtuc:J113_02805
ko:K00252	mtuc:J113_02855
ko:K13788	mtuc:J113_02910
ko:K00925	mtuc:J113_02915
ko:K03154	mtuc:J113_02970
ko:K03149	mtuc:J113_02975
ko:K07020	mtuc:J113_03005
ko:K00941	mtuc:J113_03010
ko:K01142	mtuc:J113_03065
ko:K01462	mtuc:J113_03080
ko:K06048	mtuc:J113_03100
ko:K07157	mtuc:J113_03105
ko:K17103	mtuc:J113_03135
ko:K01613	mtuc:J113_03140
ko:K04077	mtuc:J113_03165
ko:K00286	mtuc:J113_03555
ko:K00574	mtuc:J113_03585
ko:K02492	mtuc:J113_03620
ko:K01749	mtuc:J113_03625
ko:K11735	mtuc:J113_03695
ko:K02548	mtuc:J113_03810
ko:K03306	mtuc:J113_03910
ko:K01661	mtuc:J113_03930
ko:K00965	mtuc:J113_04405
ko:K03581	mtuc:J113_04475
ko:K03582	mtuc:J113_04485
ko:K03583	mtuc:J113_04515
ko:K02913	mtuc:J113_04540
ko:K03073	mtuc:J113_04560
ko:K02601	mtuc:J113_04565
ko:K02867	mtuc:J113_04570
ko:K02863	mtuc:J113_04575
ko:K00574	mtuc:J113_04580
ko:K00574	mtuc:J113_04585
