ko:K06158	lps:LPST_C0553
ko:K01926	lps:LPST_C0554
ko:K04078	lps:LPST_C0556
ko:K04077	lps:LPST_C0557
ko:K02040	lps:LPST_C0560
ko:K03070	lps:LPST_C0565
ko:K02836	lps:LPST_C0566
ko:K07636	lps:LPST_C0569
ko:K02040	lps:LPST_C0570
ko:K01821	lps:LPST_C1368
ko:K01586	lps:LPST_C1369
ko:K02548	lps:LPST_C1371
ko:K06958	lps:LPST_C0606
ko:K01358	lps:LPST_C0611
ko:K03092	lps:LPST_C0612
ko:K05311	lps:LPST_C0613
ko:K00134	lps:LPST_C0614
ko:K00927	lps:LPST_C0615
ko:K01803	lps:LPST_C0616
ko:K01689	lps:LPST_C0617
ko:K03075	lps:LPST_C0620
ko:K03928	lps:LPST_C0621
ko:K12573	lps:LPST_C0622
ko:K03664	lps:LPST_C0623
ko:K01938	lps:LPST_C1422
ko:K03101	lps:LPST_C1423
ko:K06180	lps:LPST_C1424
ko:K02825	lps:LPST_C1425
ko:K01956	lps:LPST_C1426
ko:K01955	lps:LPST_C1427
ko:K00868	lps:LPST_C0676
ko:K02621	lps:LPST_C1475
ko:K02622	lps:LPST_C1476
ko:K08591	lps:LPST_C1477
ko:K03667	lps:LPST_C1479
ko:K01419	lps:LPST_C1480
ko:K03733	lps:LPST_C1481
ko:K04094	lps:LPST_C1482
ko:K03168	lps:LPST_C1483
ko:K04096	lps:LPST_C1484
ko:K03470	lps:LPST_C1485
ko:K03797	lps:LPST_C1494
ko:K00215	lps:LPST_C1504
ko:K03530	lps:LPST_C1508
ko:K03977	lps:LPST_C1509
ko:K02945	lps:LPST_C1510
ko:K00945	lps:LPST_C1511
ko:K03654	lps:LPST_C1513
ko:K06178	lps:LPST_C1516
ko:K06024	lps:LPST_C1517
ko:K05896	lps:LPST_C1518
ko:K02859	lps:LPST_C1519
ko:K00243	lps:LPST_C1521
ko:K00942	lps:LPST_C0679
ko:K03778	lps:LPST_C0684
ko:K02759	lps:LPST_C0748
ko:K01256	lps:LPST_C0750
ko:K01153	lps:LPST_C0751
ko:K01154	lps:LPST_C0753
ko:K01154	lps:LPST_C0755
ko:K01118	lps:LPST_C0765
ko:K01893	lps:LPST_C0766
ko:K01914	lps:LPST_C0767
ko:K07090	lps:LPST_C0700
ko:K03665	lps:LPST_C0702
ko:K01223	lps:LPST_C0712
ko:K03975	lps:LPST_C0713
ko:K15051	lps:LPST_C2393
ko:K03741	lps:LPST_C0048
ko:K02760	lps:LPST_C2287
ko:K03489	lps:LPST_C2288
ko:K00077	lps:LPST_C2292
ko:K03785	lps:LPST_C2300
ko:K01866	lps:LPST_C2307
ko:K07150	lps:LPST_C2312
ko:K11102	lps:LPST_C2314
ko:K08996	lps:LPST_C2315
ko:K02003	lps:LPST_C2317
ko:K07088	lps:LPST_C2323
ko:K00648	lps:LPST_C1328
ko:K02078	lps:LPST_C1329
ko:K01744	lps:LPST_C2324
ko:K00645	lps:LPST_C1330
ko:K09458	lps:LPST_C1332
ko:K02160	lps:LPST_C1333
ko:K02372	lps:LPST_C1334
ko:K01961	lps:LPST_C1335
ko:K01963	lps:LPST_C1336
ko:K01962	lps:LPST_C1337
ko:K00208	lps:LPST_C1338
ko:K06133	lps:LPST_C1339
ko:K07150	lps:LPST_C1340
ko:K06949	lps:LPST_C1343
ko:K00574	lps:LPST_C1353
ko:K01893	lps:LPST_C1392
ko:K02071	lps:LPST_C1395
ko:K02072	lps:LPST_C1396
ko:K02073	lps:LPST_C1397
ko:K02011	lps:LPST_C1399
ko:K02012	lps:LPST_C1400
ko:K05366	lps:LPST_C1402
ko:K07444	lps:LPST_C1406
ko:K10985	lps:LPST_C2176
ko:K10984	lps:LPST_C2177
ko:K03710	lps:LPST_C2178
ko:K06180	lps:LPST_C2180
ko:K06950	lps:LPST_C2190
ko:K03303	lps:LPST_C1456
ko:K01945	lps:LPST_C2233
ko:K00602	lps:LPST_C2234
ko:K11175	lps:LPST_C2235
ko:K01933	lps:LPST_C2236
ko:K00764	lps:LPST_C2237
ko:K01952	lps:LPST_C2238
ko:K01952	lps:LPST_C2239
ko:K01923	lps:LPST_C2240
ko:K01589	lps:LPST_C2241
ko:K03800	lps:LPST_C2244
ko:K02003	lps:LPST_C2249
ko:K14155	lps:LPST_C2261
ko:K00873	lps:LPST_C1523
ko:K01753	lps:LPST_C2282
ko:K01223	lps:LPST_C2283
ko:K01223	lps:LPST_C2284
ko:K02759	lps:LPST_C2286
ko:K01990	lps:LPST_C1169
ko:K00759	lps:LPST_C1043
ko:K06901	lps:LPST_C1044
ko:K00549	lps:LPST_C1103
ko:K00958	lps:LPST_C1106
ko:K00860	lps:LPST_C1107
ko:K03975	lps:LPST_C1147
ko:K11752	lps:LPST_C1152
ko:K00793	lps:LPST_C1153
ko:K00794	lps:LPST_C1155
ko:K09962	lps:LPST_C1156
ko:K02503	lps:LPST_C1168
ko:K03439	lps:LPST_C1172
ko:K06878	lps:LPST_C1174
ko:K03466	lps:LPST_C1175
ko:K01924	lps:LPST_C1176
ko:K04759	lps:LPST_C1178
ko:K04758	lps:LPST_C1179
ko:K09013	lps:LPST_C1180
ko:K09015	lps:LPST_C1181
ko:K11717	lps:LPST_C1182
ko:K07574	lps:LPST_C1206
ko:K00969	lps:LPST_C1207
ko:K09710	lps:LPST_C1209
ko:K07040	lps:LPST_C1212
ko:K02911	lps:LPST_C1213
ko:K07478	lps:LPST_C1217
ko:K03547	lps:LPST_C1222
ko:K03217	lps:LPST_C1224
ko:K01512	lps:LPST_C1225
ko:K03437	lps:LPST_C1226
ko:K06950	lps:LPST_C1227
ko:K01889	lps:LPST_C1229
ko:K01890	lps:LPST_C1230
ko:K07082	lps:LPST_C1231
ko:K00876	lps:LPST_C1232
ko:K03624	lps:LPST_C1233
ko:K05995	lps:LPST_C1244
ko:K01126	lps:LPST_C1247
ko:K00791	lps:LPST_C1248
ko:K01915	lps:LPST_C1250
ko:K03500	lps:LPST_C1282
ko:K06949	lps:LPST_C1285
ko:K01783	lps:LPST_C1286
ko:K02902	lps:LPST_C1289
ko:K03655	lps:LPST_C1292
ko:K03621	lps:LPST_C1293
ko:K02078	lps:LPST_C1294
ko:K03685	lps:LPST_C1295
ko:K03529	lps:LPST_C1296
ko:K03110	lps:LPST_C1297
ko:K03106	lps:LPST_C1299
