ko:K00161	lmoo:LMOSLCC2378_1070
ko:K00162	lmoo:LMOSLCC2378_1071
ko:K00627	lmoo:LMOSLCC2378_1072
ko:K00382	lmoo:LMOSLCC2378_1073
ko:K03284	lmoo:LMOSLCC2378_1078
ko:K06207	lmoo:LMOSLCC2378_1081
ko:K03588	lmoo:LMOSLCC2378_1085
ko:K02016	lmoo:LMOSLCC2378_1087
ko:K00963	lmoo:LMOSLCC2378_1096
ko:K00763	lmoo:LMOSLCC2378_1103
ko:K02760	lmoo:LMOSLCC2378_1106
ko:K01951	lmoo:LMOSLCC2378_1107
ko:K03639	lmoo:LMOSLCC2378_1065
ko:K03638	lmoo:LMOSLCC2378_1066
ko:K04019	lmoo:LMOSLCC2378_1180
ko:K03735	lmoo:LMOSLCC2378_1181
ko:K03736	lmoo:LMOSLCC2378_1182
ko:K04026	lmoo:LMOSLCC2378_1183
ko:K03706	lmoo:LMOSLCC2378_1295
ko:K01126	lmoo:LMOSLCC2378_1306
ko:K00111	lmoo:LMOSLCC2378_1307
ko:K00791	lmoo:LMOSLCC2378_1308
ko:K03666	lmoo:LMOSLCC2378_1309
ko:K03665	lmoo:LMOSLCC2378_1310
ko:K01915	lmoo:LMOSLCC2378_1313
ko:K03893	lmoo:LMOSLCC2378_1314
ko:K01356	lmoo:LMOSLCC2378_1316
ko:K00615	lmoo:LMOSLCC2378_1319
ko:K02759	lmoo:LMOSLCC2378_0889
ko:K02760	lmoo:LMOSLCC2378_0890
ko:K02761	lmoo:LMOSLCC2378_0891
ko:K00231	lmoo:LMOSLCC2378_0899
ko:K00997	lmoo:LMOSLCC2378_0900
ko:K01775	lmoo:LMOSLCC2378_0901
ko:K07723	lmoo:LMOSLCC2378_0902
ko:K15975	lmoo:LMOSLCC2378_0779
ko:K06999	lmoo:LMOSLCC2378_0780
ko:K03665	lmoo:LMOSLCC2378_0782
ko:K03800	lmoo:LMOSLCC2378_0784
ko:K01118	lmoo:LMOSLCC2378_0799
ko:K11737	lmoo:LMOSLCC2378_0800
ko:K06959	lmoo:LMOSLCC2378_0913
ko:K03321	lmoo:LMOSLCC2378_0912
ko:K02761	lmoo:LMOSLCC2378_0918
ko:K06999	lmoo:LMOSLCC2378_0604
ko:K06969	lmoo:LMOSLCC2378_0605
ko:K00868	lmoo:LMOSLCC2378_0692
ko:K02419	lmoo:LMOSLCC2378_0708
ko:K02420	lmoo:LMOSLCC2378_0709
ko:K02421	lmoo:LMOSLCC2378_0710
ko:K02401	lmoo:LMOSLCC2378_0711
ko:K02400	lmoo:LMOSLCC2378_0712
ko:K02404	lmoo:LMOSLCC2378_0713
ko:K02392	lmoo:LMOSLCC2378_0714
ko:K02556	lmoo:LMOSLCC2378_0717
ko:K07150	lmoo:LMOSLCC2378_0807
ko:K07118	lmoo:LMOSLCC2378_0808
ko:K05786	lmoo:LMOSLCC2378_0809
ko:K11733	lmoo:LMOSLCC2378_0812
ko:K00847	lmoo:LMOSLCC2378_0826
ko:K02760	lmoo:LMOSLCC2378_0932
ko:K02761	lmoo:LMOSLCC2378_0933
ko:K02759	lmoo:LMOSLCC2378_0934
ko:K01223	lmoo:LMOSLCC2378_0935
ko:K07089	lmoo:LMOSLCC2378_0938
ko:K03652	lmoo:LMOSLCC2378_0945
ko:K03800	lmoo:LMOSLCC2378_0948
ko:K03216	lmoo:LMOSLCC2378_0952
ko:K04079	lmoo:LMOSLCC2378_0958
ko:K04047	lmoo:LMOSLCC2378_0959
ko:K03449	lmoo:LMOSLCC2378_0963
ko:K01443	lmoo:LMOSLCC2378_0972
ko:K09710	lmoo:LMOSLCC2378_1502
ko:K00969	lmoo:LMOSLCC2378_1504
ko:K07574	lmoo:LMOSLCC2378_1505
ko:K00014	lmoo:LMOSLCC2378_1506
ko:K07015	lmoo:LMOSLCC2378_1508
ko:K03624	lmoo:LMOSLCC2378_1512
ko:K00876	lmoo:LMOSLCC2378_1513
ko:K07082	lmoo:LMOSLCC2378_1515
ko:K07447	lmoo:LMOSLCC2378_1518
ko:K01872	lmoo:LMOSLCC2378_1520
ko:K02003	lmoo:LMOSLCC2378_1521
ko:K03581	lmoo:LMOSLCC2378_1525
ko:K00566	lmoo:LMOSLCC2378_1528
ko:K04487	lmoo:LMOSLCC2378_1529
