ko:K01740	amae:I876_11145
ko:K09768	amae:I876_11180
ko:K03522	amae:I876_11240
ko:K03521	amae:I876_11245
ko:K00311	amae:I876_11250
ko:K03839	amae:I876_11270
ko:K00824	amae:I876_11285
ko:K07160	amae:I876_11300
ko:K00243	amae:I876_11305
ko:K07397	amae:I876_11310
ko:K14260	amae:I876_11340
ko:K08973	amae:I876_15455
ko:K14155	amae:I876_15475
ko:K06207	amae:I876_15485
ko:K01915	amae:I876_15495
ko:K07708	amae:I876_15505
ko:K07712	amae:I876_15510
ko:K00655	amae:I876_15520
ko:K09893	amae:I876_15525
ko:K01873	amae:I876_15560
ko:K02339	amae:I876_15565
ko:K01255	amae:I876_15570
ko:K07091	amae:I876_15575
ko:K11720	amae:I876_15580
ko:K03088	amae:I876_15595
ko:K05970	amae:I876_15675
ko:K08323	amae:I876_15680
ko:K01235	amae:I876_15685
ko:K01198	amae:I876_15690
ko:K01209	amae:I876_15690
ko:K01051	amae:I876_12030
ko:K08325	amae:I876_12075
ko:K14445	amae:I876_12105
ko:K01494	amae:I876_12110
ko:K01874	amae:I876_12120
ko:K08307	amae:I876_12140
ko:K01883	amae:I876_12165
ko:K03269	amae:I876_12175
ko:K00390	amae:I876_16290
ko:K00381	amae:I876_16295
ko:K03969	amae:I876_16325
ko:K05539	amae:I876_16335
ko:K01070	amae:I876_16385
ko:K16053	amae:I876_16400
ko:K03308	amae:I876_16420
ko:K03840	amae:I876_16450
ko:K00694	amae:I876_16495
ko:K01754	amae:I876_16530
ko:K00411	amae:I876_03960
ko:K00412	amae:I876_03965
ko:K00413	amae:I876_03970
ko:K03599	amae:I876_03975
ko:K03600	amae:I876_03980
ko:K06213	amae:I876_03985
ko:K06958	amae:I876_03995
ko:K05808	amae:I876_04005
ko:K03092	amae:I876_04010
ko:K06861	amae:I876_04015
ko:K09774	amae:I876_04020
ko:K11719	amae:I876_04025
ko:K03270	amae:I876_04030
ko:K06041	amae:I876_04035
ko:K07301	amae:I876_04040
ko:K02065	amae:I876_04045
ko:K02066	amae:I876_04050
ko:K07323	amae:I876_04060
ko:K07122	amae:I876_04065
ko:K00790	amae:I876_04075
ko:K04691	amae:I876_04080
ko:K09908	amae:I876_04090
ko:K06916	amae:I876_04095
ko:K06886	amae:I876_04105
ko:K12257	amae:I876_04120
ko:K01999	amae:I876_04150
ko:K00789	amae:I876_04165
ko:K00615	amae:I876_04170
ko:K03472	amae:I876_04175
ko:K00927	amae:I876_04180
ko:K01623	amae:I876_04185
ko:K03585	amae:I876_04195
ko:K03424	amae:I876_08315
ko:K01283	amae:I876_08335
ko:K09940	amae:I876_08340
ko:K07516	amae:I876_08360
ko:K09748	amae:I876_08450
ko:K02600	amae:I876_08455
ko:K02519	amae:I876_08460
ko:K02834	amae:I876_08465
ko:K02956	amae:I876_08480
ko:K06182	amae:I876_08485
ko:K07394	amae:I876_08505
ko:K03387	amae:I876_08540
ko:K06134	amae:I876_08560
ko:K09747	amae:I876_12775
ko:K02343	amae:I876_12780
ko:K00759	amae:I876_12785
ko:K09929	amae:I876_12790
ko:K09930	amae:I876_12795
ko:K17103	amae:I876_12820
ko:K03777	amae:I876_12840
ko:K03695	amae:I876_12845
ko:K05810	amae:I876_12850
ko:K06180	amae:I876_12855
ko:K05807	amae:I876_12860
ko:K03088	amae:I876_12870
ko:K07157	amae:I876_12875
ko:K09701	amae:I876_12895
ko:K00574	amae:I876_12900
ko:K02557	amae:I876_12905
ko:K02556	amae:I876_12910
ko:K03602	amae:I876_12915
ko:K00795	amae:I876_12920
ko:K01662	amae:I876_12925
ko:K01095	amae:I876_12930
ko:K00946	amae:I876_12935
ko:K03625	amae:I876_12940
ko:K00794	amae:I876_12945
ko:K14652	amae:I876_12950
ko:K00793	amae:I876_12955
ko:K11752	amae:I876_12960
ko:K07738	amae:I876_12965
ko:K00600	amae:I876_12970
ko:K02536	amae:I876_12975
ko:K04485	amae:I876_12990
ko:K01079	amae:I876_13000
ko:K03424	amae:I876_13010
ko:K00275	amae:I876_13015
ko:K02406	amae:I876_17185
ko:K02879	amae:I876_17200
ko:K03040	amae:I876_17205
ko:K02986	amae:I876_17210
ko:K02948	amae:I876_17215
ko:K02952	amae:I876_17220
ko:K02919	amae:I876_17225
ko:K03076	amae:I876_17230
ko:K02876	amae:I876_17235
ko:K02907	amae:I876_17240
ko:K02988	amae:I876_17245
ko:K02881	amae:I876_17250
ko:K02933	amae:I876_17255
ko:K02994	amae:I876_17260
