ko:K02518	deb:DehaBAV1_0474
ko:K02919	deb:DehaBAV1_0475
ko:K02952	deb:DehaBAV1_0476
ko:K02948	deb:DehaBAV1_0477
ko:K02986	deb:DehaBAV1_0478
ko:K02879	deb:DehaBAV1_0480
ko:K02871	deb:DehaBAV1_0482
ko:K02996	deb:DehaBAV1_0483
ko:K03592	deb:DehaBAV1_0502
ko:K03568	deb:DehaBAV1_0503
ko:K00973	deb:DehaBAV1_0506
ko:K06910	deb:DehaBAV1_0508
ko:K00384	deb:DehaBAV1_0518
ko:K03621	deb:DehaBAV1_0519
ko:K03701	deb:DehaBAV1_0522
ko:K03086	deb:DehaBAV1_0526
ko:K02435	deb:DehaBAV1_1145
ko:K03550	deb:DehaBAV1_0419
ko:K03824	deb:DehaBAV1_1027
ko:K06218	deb:DehaBAV1_1039
ko:K03325	deb:DehaBAV1_1054
ko:K07576	deb:DehaBAV1_0944
ko:K06287	deb:DehaBAV1_0949
ko:K04751	deb:DehaBAV1_0953
ko:K03320	deb:DehaBAV1_0954
ko:K03711	deb:DehaBAV1_0980
ko:K03523	deb:DehaBAV1_0995
ko:K09807	deb:DehaBAV1_1002
ko:K03657	deb:DehaBAV1_1007
ko:K01955	deb:DehaBAV1_1012
ko:K02835	deb:DehaBAV1_1020
ko:K02355	deb:DehaBAV1_1022
ko:K04763	deb:DehaBAV1_1025
ko:K03111	deb:DehaBAV1_0928
ko:K03787	deb:DehaBAV1_0723
ko:K03584	deb:DehaBAV1_0553
ko:K09747	deb:DehaBAV1_0558
ko:K06966	deb:DehaBAV1_0569
ko:K08681	deb:DehaBAV1_0573
ko:K03046	deb:DehaBAV1_0579
ko:K09765	deb:DehaBAV1_0581
ko:K07739	deb:DehaBAV1_0586
ko:K00442	deb:DehaBAV1_0589
ko:K06196	deb:DehaBAV1_0592
ko:K09815	deb:DehaBAV1_0604
ko:K03531	deb:DehaBAV1_0608
ko:K03590	deb:DehaBAV1_0609
ko:K00615	deb:DehaBAV1_0616
ko:K02231	deb:DehaBAV1_0629
ko:K00194	deb:DehaBAV1_0636
ko:K04488	deb:DehaBAV1_0835
ko:K08982	deb:DehaBAV1_0836
ko:K03594	deb:DehaBAV1_0839
ko:K02500	deb:DehaBAV1_0851
ko:K09720	deb:DehaBAV1_0852
ko:K07462	deb:DehaBAV1_0855
ko:K09764	deb:DehaBAV1_0859
ko:K02956	deb:DehaBAV1_0860
