ko:K06920	banr:A16R_14220
ko:K01737	banr:A16R_14230
ko:K10026	banr:A16R_14240
ko:K09457	banr:A16R_14250
ko:K03647	banr:A16R_14320
ko:K01990	banr:A16R_14380
ko:K07052	banr:A16R_14420
ko:K03719	banr:A16R_14440
ko:K01297	banr:A16R_14480
ko:K00459	banr:A16R_14490
ko:K03740	banr:A16R_14500
ko:K09962	banr:A16R_22800
ko:K01091	banr:A16R_22820
ko:K01779	banr:A16R_22850
ko:K01990	banr:A16R_22910
ko:K01992	banr:A16R_22920
ko:K01091	banr:A16R_22950
ko:K01118	banr:A16R_23030
ko:K00655	banr:A16R_23040
ko:K11068	banr:A16R_23050
ko:K03116	banr:A16R_23060
ko:K03118	banr:A16R_23070
ko:K07152	banr:A16R_23110
ko:K01953	banr:A16R_23130
ko:K02016	banr:A16R_23170
ko:K00824	banr:A16R_23180
ko:K13993	banr:A16R_23240
ko:K02480	banr:A16R_23260
ko:K13953	banr:A16R_23300
ko:K07090	banr:A16R_31440
ko:K11733	banr:A16R_31460
ko:K03574	banr:A16R_31530
ko:K03100	banr:A16R_31550
ko:K01304	banr:A16R_31600
ko:K07160	banr:A16R_31650
ko:K06351	banr:A16R_31670
ko:K03100	banr:A16R_31690
ko:K06201	banr:A16R_31700
ko:K06385	banr:A16R_31710
ko:K06329	banr:A16R_31900
ko:K09190	banr:A16R_31910
ko:K06411	banr:A16R_39910
ko:K06410	banr:A16R_39920
ko:K00962	banr:A16R_39960
ko:K02956	banr:A16R_39970
ko:K11753	banr:A16R_39980
ko:K02834	banr:A16R_40010
ko:K09764	banr:A16R_40020
ko:K02519	banr:A16R_40030
ko:K02600	banr:A16R_40060
ko:K09748	banr:A16R_40070
ko:K03763	banr:A16R_40080
ko:K01881	banr:A16R_40090
ko:K11749	banr:A16R_40100
ko:K00099	banr:A16R_40110
ko:K00981	banr:A16R_40120
ko:K00806	banr:A16R_40130
ko:K02838	banr:A16R_40140
ko:K09903	banr:A16R_40150
ko:K02357	banr:A16R_40160
ko:K02967	banr:A16R_40170
