ko:K02828	saui:AZ30_05055
ko:K02827	saui:AZ30_05060
ko:K02826	saui:AZ30_05065
ko:K01491	saui:AZ30_05075
ko:K01588	saui:AZ30_05080
ko:K01589	saui:AZ30_05085
ko:K01923	saui:AZ30_05090
ko:K01952	saui:AZ30_05100
ko:K01952	saui:AZ30_05105
ko:K00764	saui:AZ30_05110
ko:K01933	saui:AZ30_05115
ko:K11175	saui:AZ30_05120
ko:K00602	saui:AZ30_05125
ko:K07533	saui:AZ30_09355
ko:K03698	saui:AZ30_09360
ko:K06180	saui:AZ30_09400
ko:K01679	saui:AZ30_09405
ko:K03216	saui:AZ30_09435
ko:K02028	saui:AZ30_09445
ko:K02029	saui:AZ30_09450
ko:K02030	saui:AZ30_09450
ko:K07035	saui:AZ30_09455
ko:K09825	saui:AZ30_09620
ko:K03564	saui:AZ30_09630
ko:K01845	saui:AZ30_09635
ko:K12942	saui:AZ30_12985
ko:K03574	saui:AZ30_13055
ko:K01835	saui:AZ30_13060
ko:K00963	saui:AZ30_13105
ko:K13732	saui:AZ30_13115
ko:K03299	saui:AZ30_13125
ko:K00851	saui:AZ30_13130
ko:K11476	saui:AZ30_13135
ko:K03535	saui:AZ30_13160
ko:K01990	saui:AZ30_13180
ko:K04041	saui:AZ30_13190
ko:K06999	saui:AZ30_13200
ko:K15975	saui:AZ30_13205
ko:K15973	saui:AZ30_13210
ko:K06975	saui:AZ30_13215
ko:K07104	saui:AZ30_13220
ko:K03778	saui:AZ30_13230
ko:K16917	saui:AZ30_13240
ko:K16916	saui:AZ30_13245
ko:K07284	saui:AZ30_13250
ko:K03823	saui:AZ30_13255
ko:K01752	saui:AZ30_13260
ko:K07667	saui:AZ30_11000
ko:K01929	saui:AZ30_11010
ko:K01921	saui:AZ30_11015
ko:K05837	saui:AZ30_11020
ko:K06131	saui:AZ30_11040
ko:K06950	saui:AZ30_11045
ko:K03217	saui:AZ30_11050
ko:K00788	saui:AZ30_11055
ko:K00878	saui:AZ30_11060
ko:K00941	saui:AZ30_11065
ko:K03707	saui:AZ30_11070
ko:K02372	saui:AZ30_11090
ko:K00790	saui:AZ30_11095
ko:K02114	saui:AZ30_11105
ko:K02112	saui:AZ30_11110
ko:K02115	saui:AZ30_11115
ko:K02111	saui:AZ30_11120
ko:K02113	saui:AZ30_11125
ko:K02109	saui:AZ30_11130
ko:K02110	saui:AZ30_11135
ko:K02108	saui:AZ30_11140
ko:K02116	saui:AZ30_11145
ko:K01791	saui:AZ30_11150
ko:K00761	saui:AZ30_11155
ko:K00600	saui:AZ30_11160
ko:K01104	saui:AZ30_11170
ko:K07566	saui:AZ30_11175
ko:K02493	saui:AZ30_11180
ko:K02835	saui:AZ30_11185
ko:K02909	saui:AZ30_11195
ko:K03628	saui:AZ30_11200
ko:K00128	saui:AZ30_11205
ko:K00790	saui:AZ30_11215
ko:K01624	saui:AZ30_11220
ko:K01937	saui:AZ30_11230
ko:K03048	saui:AZ30_11235
ko:K09680	saui:AZ30_11245
ko:K07173	saui:AZ30_11265
ko:K00756	saui:AZ30_11275
ko:K01619	saui:AZ30_11280
ko:K03784	saui:AZ30_11285
ko:K04047	saui:AZ30_11290
ko:K01809	saui:AZ30_11310
ko:K16264	saui:AZ30_11325
ko:K02013	saui:AZ30_11350
ko:K00820	saui:AZ30_11355
ko:K02799	saui:AZ30_11360
ko:K02800	saui:AZ30_11360
ko:K02798	saui:AZ30_11370
ko:K00009	saui:AZ30_11375
ko:K03431	saui:AZ30_11385
ko:K01476	saui:AZ30_11400
