ko:K07552	echw:ECHWAK_0787
ko:K00240	echw:ECHWAK_0790
ko:K00239	echw:ECHWAK_0791
ko:K06147	echw:ECHWAK_0792
ko:K00600	echw:ECHWAK_0794
ko:K02939	echw:ECHWAK_0795
ko:K02963	echw:ECHWAK_0796
ko:K00997	echw:ECHWAK_0393
ko:K03664	echw:ECHWAK_0956
ko:K02858	echw:ECHWAK_0957
ko:K03624	echw:ECHWAK_0958
ko:K02111	echw:ECHWAK_0959
ko:K02113	echw:ECHWAK_0960
ko:K09808	echw:ECHWAK_0964
ko:K02340	echw:ECHWAK_0965
ko:K01919	echw:ECHWAK_0966
ko:K01647	echw:ECHWAK_0967
ko:K01951	echw:ECHWAK_0968
ko:K00627	echw:ECHWAK_0980
ko:K03074	echw:ECHWAK_0983
ko:K07460	echw:ECHWAK_0985
ko:K00643	echw:ECHWAK_0986
ko:K01866	echw:ECHWAK_0987
ko:K01915	echw:ECHWAK_0989
ko:K02523	echw:ECHWAK_0990
ko:K02065	echw:ECHWAK_0992
ko:K02066	echw:ECHWAK_0993
ko:K01783	echw:ECHWAK_0994
ko:K03629	echw:ECHWAK_0998
ko:K01462	echw:ECHWAK_1001
ko:K00655	echw:ECHWAK_1002
ko:K02968	echw:ECHWAK_1003
ko:K16264	echw:ECHWAK_1005
ko:K02990	echw:ECHWAK_0797
ko:K02194	echw:ECHWAK_1007
ko:K06204	echw:ECHWAK_1008
ko:K00329	echw:ECHWAK_1009
ko:K00356	echw:ECHWAK_1009
ko:K03655	echw:ECHWAK_1010
ko:K01598	echw:ECHWAK_1011
ko:K03650	echw:ECHWAK_1012
ko:K00674	echw:ECHWAK_1014
ko:K03601	echw:ECHWAK_1016
ko:K00927	echw:ECHWAK_1018
ko:K01778	echw:ECHWAK_1021
ko:K01497	echw:ECHWAK_1025
ko:K05524	echw:ECHWAK_1032
ko:K03517	echw:ECHWAK_1035
ko:K02169	echw:ECHWAK_1036
ko:K04485	echw:ECHWAK_0800
ko:K02199	echw:ECHWAK_0801
ko:K07390	echw:ECHWAK_0803
ko:K01972	echw:ECHWAK_0804
ko:K03684	echw:ECHWAK_0805
ko:K13598	echw:ECHWAK_0806
ko:K03704	echw:ECHWAK_0807
ko:K01494	echw:ECHWAK_0809
ko:K02193	echw:ECHWAK_0810
ko:K02259	echw:ECHWAK_0811
ko:K01892	echw:ECHWAK_0814
ko:K01923	echw:ECHWAK_0815
ko:K03652	echw:ECHWAK_0825
ko:K00981	echw:ECHWAK_0830
ko:K02838	echw:ECHWAK_0831
ko:K09903	echw:ECHWAK_0832
ko:K03469	echw:ECHWAK_0835
ko:K03723	echw:ECHWAK_0846
ko:K03558	echw:ECHWAK_0798
ko:K00793	echw:ECHWAK_0856
ko:K03071	echw:ECHWAK_0862
ko:K00943	echw:ECHWAK_0865
ko:K00645	echw:ECHWAK_0866
ko:K02909	echw:ECHWAK_0867
ko:K00858	echw:ECHWAK_0868
ko:K00088	echw:ECHWAK_0869
ko:K00161	echw:ECHWAK_0873
ko:K03671	echw:ECHWAK_0875
ko:K03602	echw:ECHWAK_0878
ko:K07088	echw:ECHWAK_0881
ko:K08316	echw:ECHWAK_0882
ko:K01885	echw:ECHWAK_0885
ko:K03149	echw:ECHWAK_0887
ko:K03154	echw:ECHWAK_0888
ko:K03628	echw:ECHWAK_0892
ko:K09987	echw:ECHWAK_0893
ko:K02916	echw:ECHWAK_0894
ko:K02887	echw:ECHWAK_0895
ko:K01889	echw:ECHWAK_0896
ko:K09791	echw:ECHWAK_0898
ko:K03762	echw:ECHWAK_0899
ko:K02959	echw:ECHWAK_0900
ko:K02012	echw:ECHWAK_0901
ko:K07738	echw:ECHWAK_0905
ko:K02067	echw:ECHWAK_0907
ko:K05568	echw:ECHWAK_0910
ko:K03820	echw:ECHWAK_0911
ko:K00029	echw:ECHWAK_0914
ko:K09810	echw:ECHWAK_0915
ko:K04763	echw:ECHWAK_0916
ko:K03075	echw:ECHWAK_0917
ko:K01937	echw:ECHWAK_0918
ko:K11752	echw:ECHWAK_0920
ko:K03687	echw:ECHWAK_0921
ko:K01867	echw:ECHWAK_0922
ko:K04764	echw:ECHWAK_0927
ko:K01588	echw:ECHWAK_0929
ko:K00991	echw:ECHWAK_0932
ko:K01770	echw:ECHWAK_0933
ko:K06942	echw:ECHWAK_0934
ko:K03568	echw:ECHWAK_0936
ko:K00162	echw:ECHWAK_0939
ko:K08973	echw:ECHWAK_0940
ko:K03455	echw:ECHWAK_0943
ko:K01439	echw:ECHWAK_0944
ko:K02897	echw:ECHWAK_0947
ko:K01056	echw:ECHWAK_0948
ko:K00764	echw:ECHWAK_0952
ko:K06980	echw:ECHWAK_0953
ko:K02198	echw:ECHWAK_0954
ko:K01873	echw:ECHWAK_0955
ko:K00954	echw:ECHWAK_0397
ko:K00384	echw:ECHWAK_0398
ko:K03386	echw:ECHWAK_0399
ko:K00812	echw:ECHWAK_0400
ko:K03770	echw:ECHWAK_0401
ko:K03177	echw:ECHWAK_0404
ko:K02956	echw:ECHWAK_0405
ko:K00962	echw:ECHWAK_0406
ko:K03596	echw:ECHWAK_0408
ko:K02836	echw:ECHWAK_0427
ko:K02433	echw:ECHWAK_0429
ko:K11754	echw:ECHWAK_0430
ko:K01749	echw:ECHWAK_0432
ko:K06207	echw:ECHWAK_0439
ko:K00338	echw:ECHWAK_0441
ko:K03100	echw:ECHWAK_0442
ko:K01129	echw:ECHWAK_0444
ko:K01881	echw:ECHWAK_0394
ko:K01940	echw:ECHWAK_0449
ko:K00620	echw:ECHWAK_0452
ko:K01142	echw:ECHWAK_0453
ko:K00059	echw:ECHWAK_0457
ko:K13821	echw:ECHWAK_0459
ko:K00833	echw:ECHWAK_0461
ko:K02919	echw:ECHWAK_0471
ko:K03089	echw:ECHWAK_0472
ko:K02115	echw:ECHWAK_0475
ko:K01495	echw:ECHWAK_0476
ko:K03592	echw:ECHWAK_0477
ko:K00384	echw:ECHWAK_0478
ko:K02528	echw:ECHWAK_0479
ko:K01803	echw:ECHWAK_0481
ko:K07080	echw:ECHWAK_0482
ko:K01409	echw:ECHWAK_0483
ko:K01633	echw:ECHWAK_0485
ko:K00024	echw:ECHWAK_0486
ko:K01808	echw:ECHWAK_0489
ko:K00568	echw:ECHWAK_0490
ko:K02200	echw:ECHWAK_0491
ko:K04044	echw:ECHWAK_0494
ko:K04082	echw:ECHWAK_0495
ko:K13628	echw:ECHWAK_0496
ko:K04488	echw:ECHWAK_0497
ko:K04487	echw:ECHWAK_0498
ko:K00995	echw:ECHWAK_0096
ko:K00602	echw:ECHWAK_0098
ko:K02372	echw:ECHWAK_0099
ko:K07277	echw:ECHWAK_0101
ko:K11749	echw:ECHWAK_0102
ko:K09159	echw:ECHWAK_0103
ko:K07258	echw:ECHWAK_0105
ko:K00658	echw:ECHWAK_0107
ko:K01265	echw:ECHWAK_0108
ko:K02493	echw:ECHWAK_0109
ko:K11753	echw:ECHWAK_0111
ko:K03101	echw:ECHWAK_0112
ko:K07263	echw:ECHWAK_0114
ko:K07263	echw:ECHWAK_0115
ko:K02258	echw:ECHWAK_0116
ko:K03685	echw:ECHWAK_0117
ko:K04087	echw:ECHWAK_0120
ko:K04088	echw:ECHWAK_0121
ko:K04566	echw:ECHWAK_0501
ko:K00997	echw:ECHWAK_0504
ko:K06173	echw:ECHWAK_0505
ko:K00609	echw:ECHWAK_0506
ko:K02470	echw:ECHWAK_0507
ko:K00337	echw:ECHWAK_0510
ko:K00333	echw:ECHWAK_0511
ko:K00334	echw:ECHWAK_0512
ko:K01885	echw:ECHWAK_0523
ko:K10563	echw:ECHWAK_0526
ko:K01966	echw:ECHWAK_0529
ko:K02835	echw:ECHWAK_0530
ko:K03978	echw:ECHWAK_0531
ko:K00930	echw:ECHWAK_0532
ko:K00228	echw:ECHWAK_0534
ko:K00228	echw:ECHWAK_0535
ko:K00791	echw:ECHWAK_0537
ko:K01875	echw:ECHWAK_0540
ko:K09760	echw:ECHWAK_0544
ko:K00616	echw:ECHWAK_0546
ko:K02114	echw:ECHWAK_0547
ko:K02112	echw:ECHWAK_0548
ko:K06213	echw:ECHWAK_0550
