ko:K07638	rps:M9Y_02075
ko:K07659	rps:M9Y_02080
ko:K00826	rps:M9Y_02085
ko:K01714	rps:M9Y_02090
ko:K03664	rps:M9Y_02095
ko:K01902	rps:M9Y_02105
ko:K01903	rps:M9Y_02110
ko:K02834	rps:M9Y_02120
ko:K06187	rps:M9Y_02135
ko:K00858	rps:M9Y_02145
ko:K00057	rps:M9Y_02155
ko:K07088	rps:M9Y_02160
ko:K00384	rps:M9Y_02170
ko:K03657	rps:M9Y_02180
ko:K01754	rps:M9Y_02190
ko:K01338	rps:M9Y_02195
ko:K02919	rps:M9Y_02220
ko:K00382	rps:M9Y_02240
ko:K03684	rps:M9Y_02250
ko:K06980	rps:M9Y_02260
ko:K01749	rps:M9Y_02270
ko:K01867	rps:M9Y_02275
ko:K00655	rps:M9Y_02280
ko:K07018	rps:M9Y_02290
ko:K08218	rps:M9Y_02310
ko:K02523	rps:M9Y_02330
ko:K04487	rps:M9Y_02365
ko:K13643	rps:M9Y_02370
ko:K05810	rps:M9Y_02395
ko:K01915	rps:M9Y_02400
ko:K07058	rps:M9Y_02405
ko:K02956	rps:M9Y_02430
ko:K00962	rps:M9Y_02435
ko:K06041	rps:M9Y_02440
ko:K11719	rps:M9Y_02445
ko:K09774	rps:M9Y_02450
ko:K06861	rps:M9Y_02455
ko:K00791	rps:M9Y_02465
ko:K00384	rps:M9Y_02485
ko:K01491	rps:M9Y_02490
ko:K01358	rps:M9Y_02505
ko:K02945	rps:M9Y_02510
ko:K00945	rps:M9Y_02515
ko:K05788	rps:M9Y_02520
ko:K04773	rps:M9Y_02525
ko:K03628	rps:M9Y_02530
ko:K07462	rps:M9Y_02540
ko:K02835	rps:M9Y_02545
ko:K00627	rps:M9Y_02550
ko:K02520	rps:M9Y_02555
ko:K03524	rps:M9Y_02565
ko:K07001	rps:M9Y_02570
ko:K04564	rps:M9Y_02575
ko:K11754	rps:M9Y_02580
ko:K00343	rps:M9Y_02585
ko:K01698	rps:M9Y_02595
ko:K04066	rps:M9Y_02600
ko:K03186	rps:M9Y_02605
ko:K06178	rps:M9Y_02620
ko:K04485	rps:M9Y_02630
ko:K03584	rps:M9Y_02640
ko:K02519	rps:M9Y_02655
ko:K02600	rps:M9Y_02660
ko:K09748	rps:M9Y_02665
ko:K06442	rps:M9Y_02670
ko:K01866	rps:M9Y_02675
ko:K06894	rps:M9Y_02680
ko:K03185	rps:M9Y_02690
ko:K13599	rps:M9Y_02700
ko:K09773	rps:M9Y_00005
ko:K03671	rps:M9Y_00010
ko:K00677	rps:M9Y_00030
ko:K02372	rps:M9Y_00035
ko:K02536	rps:M9Y_00040
ko:K06925	rps:M9Y_00055
ko:K02109	rps:M9Y_00090
ko:K02109	rps:M9Y_00095
ko:K02110	rps:M9Y_00100
ko:K02108	rps:M9Y_00105
ko:K07736	rps:M9Y_00120
ko:K03629	rps:M9Y_00130
ko:K07152	rps:M9Y_00140
ko:K07735	rps:M9Y_00145
ko:K00023	rps:M9Y_00160
ko:K03695	rps:M9Y_00165
ko:K02990	rps:M9Y_00180
ko:K05515	rps:M9Y_02715
ko:K03587	rps:M9Y_02725
ko:K03438	rps:M9Y_02735
ko:K03925	rps:M9Y_02740
ko:K03703	rps:M9Y_02750
ko:K03070	rps:M9Y_02765
ko:K00997	rps:M9Y_02775
ko:K03060	rps:M9Y_02780
ko:K00790	rps:M9Y_02785
ko:K02470	rps:M9Y_02790
ko:K06213	rps:M9Y_02800
ko:K03210	rps:M9Y_02805
ko:K03072	rps:M9Y_02810
ko:K07152	rps:M9Y_02815
ko:K02197	rps:M9Y_02825
ko:K03980	rps:M9Y_02835
ko:K03655	rps:M9Y_02850
ko:K01000	rps:M9Y_02855
ko:K01929	rps:M9Y_02860
ko:K01928	rps:M9Y_02865
ko:K03723	rps:M9Y_02870
ko:K09159	rps:M9Y_02875
ko:K02313	rps:M9Y_02885
ko:K06942	rps:M9Y_02900
ko:K01056	rps:M9Y_02905
ko:K02897	rps:M9Y_02910
ko:K02916	rps:M9Y_02920
ko:K02887	rps:M9Y_02925
ko:K02914	rps:M9Y_02930
ko:K03536	rps:M9Y_02935
ko:K13598	rps:M9Y_02950
ko:K02970	rps:M9Y_02955
ko:K01870	rps:M9Y_02965
ko:K02963	rps:M9Y_00185
ko:K02939	rps:M9Y_00190
ko:K04075	rps:M9Y_00195
ko:K03798	rps:M9Y_00200
ko:K00240	rps:M9Y_00205
ko:K13292	rps:M9Y_00215
ko:K03217	rps:M9Y_00225
ko:K00995	rps:M9Y_00230
ko:K03301	rps:M9Y_00250
ko:K02445	rps:M9Y_00255
ko:K00940	rps:M9Y_00260
ko:K03495	rps:M9Y_00265
ko:K03501	rps:M9Y_00270
ko:K01627	rps:M9Y_00295
ko:K01129	rps:M9Y_00305
ko:K01887	rps:M9Y_00310
ko:K02621	rps:M9Y_00320
ko:K01494	rps:M9Y_00330
ko:K03071	rps:M9Y_00335
ko:K13584	rps:M9Y_00340
ko:K06879	rps:M9Y_00345
ko:K09987	rps:M9Y_00350
ko:K00325	rps:M9Y_00355
ko:K07275	rps:M9Y_00360
ko:K03762	rps:M9Y_00370
ko:K03075	rps:M9Y_00375
ko:K01883	rps:M9Y_00400
ko:K02967	rps:M9Y_00405
ko:K02357	rps:M9Y_00410
ko:K02527	rps:M9Y_00420
ko:K09778	rps:M9Y_00425
ko:K00812	rps:M9Y_00430
ko:K04754	rps:M9Y_00440
ko:K01775	rps:M9Y_00450
ko:K02066	rps:M9Y_00455
ko:K02065	rps:M9Y_00460
ko:K02902	rps:M9Y_00470
ko:K02909	rps:M9Y_00475
ko:K03978	rps:M9Y_00480
