ko:K05778	vcz:VAB027_2312
ko:K05779	vcz:VAB027_2313
ko:K03803	vcz:VAB027_3090
ko:K03598	vcz:VAB027_3091
ko:K03597	vcz:VAB027_3092
ko:K03088	vcz:VAB027_3093
ko:K00278	vcz:VAB027_3094
ko:K09159	vcz:VAB027_3096
ko:K06980	vcz:VAB027_3097
ko:K18800	vcz:VAB027_3099
ko:K03185	vcz:VAB027_3100
ko:K09895	vcz:VAB027_3101
ko:K09888	vcz:VAB027_3102
ko:K01934	vcz:VAB027_3103
ko:K01807	vcz:VAB027_3104
ko:K00058	vcz:VAB027_3105
ko:K01653	vcz:VAB027_3106
ko:K01652	vcz:VAB027_3107
ko:K01897	vcz:VAB027_3108
ko:K05798	vcz:VAB027_3109
ko:K01649	vcz:VAB027_3112
ko:K00052	vcz:VAB027_3113
ko:K01703	vcz:VAB027_3114
ko:K01704	vcz:VAB027_3115
ko:K03695	vcz:VAB027_3124
ko:K05810	vcz:VAB027_3125
ko:K06180	vcz:VAB027_3126
ko:K05807	vcz:VAB027_3127
ko:K05809	vcz:VAB027_3128
ko:K14170	vcz:VAB027_3129
ko:K11069	vcz:VAB027_3130
ko:K02356	vcz:VAB027_234
ko:K00247	vcz:VAB027_235
ko:K00246	vcz:VAB027_236
ko:K00245	vcz:VAB027_237
ko:K00244	vcz:VAB027_238
ko:K04568	vcz:VAB027_239
ko:K03071	vcz:VAB027_241
ko:K00057	vcz:VAB027_242
ko:K00640	vcz:VAB027_243
ko:K01595	vcz:VAB027_245
ko:K01438	vcz:VAB027_246
ko:K00145	vcz:VAB027_247
ko:K00930	vcz:VAB027_248
ko:K01940	vcz:VAB027_249
ko:K14681	vcz:VAB027_250
ko:K00382	vcz:VAB027_252
ko:K04761	vcz:VAB027_254
ko:K05366	vcz:VAB027_255
ko:K02662	vcz:VAB027_256
ko:K02663	vcz:VAB027_257
ko:K02664	vcz:VAB027_258
ko:K02665	vcz:VAB027_259
ko:K02666	vcz:VAB027_260
ko:K00891	vcz:VAB027_261
ko:K01735	vcz:VAB027_262
ko:K03112	vcz:VAB027_263
ko:K01783	vcz:VAB027_265
ko:K01091	vcz:VAB027_266
ko:K01867	vcz:VAB027_267
ko:K02030	vcz:VAB027_268
ko:K07004	vcz:VAB027_269
ko:K14441	vcz:VAB027_270
ko:K01664	vcz:VAB027_271
ko:K00673	vcz:VAB027_273
ko:K06447	vcz:VAB027_274
ko:K05775	vcz:VAB027_1104
ko:K02564	vcz:VAB027_1106
ko:K09897	vcz:VAB027_1109
ko:K15977	vcz:VAB027_1111
ko:K13529	vcz:VAB027_1112
ko:K00567	vcz:VAB027_1113
ko:K18893	vcz:VAB027_1131
ko:K10680	vcz:VAB027_1133
ko:K03675	vcz:VAB027_1134
ko:K00134	vcz:VAB027_346
ko:K07397	vcz:VAB027_348
ko:K00661	vcz:VAB027_350
ko:K01907	vcz:VAB027_357
ko:K00500	vcz:VAB027_358
ko:K01724	vcz:VAB027_359
ko:K06718	vcz:VAB027_360
ko:K00836	vcz:VAB027_361
ko:K06720	vcz:VAB027_362
ko:K00928	vcz:VAB027_363
ko:K04077	vcz:VAB027_365
ko:K04078	vcz:VAB027_366
ko:K06213	vcz:VAB027_367
ko:K01585	vcz:VAB027_369
ko:K01480	vcz:VAB027_370
ko:K05994	vcz:VAB027_371
ko:K06876	vcz:VAB027_374
ko:K02040	vcz:VAB027_376
ko:K01147	vcz:VAB027_378
ko:K05592	vcz:VAB027_379
ko:K00892	vcz:VAB027_382
ko:K05805	vcz:VAB027_383
ko:K08984	vcz:VAB027_388
ko:K00209	vcz:VAB027_393
ko:K10804	vcz:VAB027_394
ko:K02003	vcz:VAB027_395
ko:K02004	vcz:VAB027_396
ko:K07227	vcz:VAB027_1209
ko:K07226	vcz:VAB027_1210
ko:K00865	vcz:VAB027_1212
ko:K07396	vcz:VAB027_1214
ko:K00033	vcz:VAB027_1217
ko:K01057	vcz:VAB027_1218
ko:K00036	vcz:VAB027_1219
ko:K04477	vcz:VAB027_1221
ko:K15536	vcz:VAB027_1222
ko:K08234	vcz:VAB027_1225
ko:K01740	vcz:VAB027_1227
ko:K00639	vcz:VAB027_1228
ko:K00060	vcz:VAB027_1229
ko:K01963	vcz:VAB027_1230
ko:K01963	vcz:VAB027_1231
ko:K07452	vcz:VAB027_1233
ko:K07318	vcz:VAB027_1236
ko:K03704	vcz:VAB027_1249
ko:K07127	vcz:VAB027_1253
ko:K10914	vcz:VAB027_1256
ko:K00855	vcz:VAB027_1257
ko:K09898	vcz:VAB027_1258
ko:K07019	vcz:VAB027_1259
ko:K03578	vcz:VAB027_2059
ko:K03800	vcz:VAB027_2063
ko:K01669	vcz:VAB027_2067
ko:K11741	vcz:VAB027_2068
ko:K03406	vcz:VAB027_2069
ko:K03413	vcz:VAB027_2070
ko:K03407	vcz:VAB027_2072
ko:K03413	vcz:VAB027_2073
ko:K00575	vcz:VAB027_2074
ko:K03412	vcz:VAB027_2076
ko:K03408	vcz:VAB027_2077
ko:K03406	vcz:VAB027_2078
ko:K03406	vcz:VAB027_2079
ko:K03406	vcz:VAB027_2080
ko:K03543	vcz:VAB027_2084
ko:K03446	vcz:VAB027_2085
ko:K03406	vcz:VAB027_2086
ko:K01299	vcz:VAB027_2087
ko:K11903	vcz:VAB027_2088
ko:K11904	vcz:VAB027_2089
ko:K03310	vcz:VAB027_2094
ko:K11069	vcz:VAB027_2097
ko:K11069	vcz:VAB027_2098
ko:K11070	vcz:VAB027_2099
ko:K11071	vcz:VAB027_2100
ko:K11072	vcz:VAB027_2101
ko:K03796	vcz:VAB027_2103
ko:K02372	vcz:VAB027_2890
ko:K02536	vcz:VAB027_2891
ko:K06142	vcz:VAB027_2892
ko:K07277	vcz:VAB027_2893
ko:K11749	vcz:VAB027_2894
ko:K00099	vcz:VAB027_2895
ko:K00981	vcz:VAB027_2896
ko:K00806	vcz:VAB027_2897
ko:K02838	vcz:VAB027_2898
ko:K09903	vcz:VAB027_2899
ko:K02357	vcz:VAB027_2900
ko:K02967	vcz:VAB027_2901
ko:K01265	vcz:VAB027_2902
ko:K00990	vcz:VAB027_2903
ko:K01095	vcz:VAB027_2905
ko:K00946	vcz:VAB027_2906
ko:K03625	vcz:VAB027_2907
ko:K00794	vcz:VAB027_2908
ko:K14652	vcz:VAB027_2909
ko:K00793	vcz:VAB027_2910
ko:K11752	vcz:VAB027_2911
ko:K07738	vcz:VAB027_2912
ko:K00147	vcz:VAB027_2913
ko:K00931	vcz:VAB027_2914
ko:K11926	vcz:VAB027_2915
ko:K11750	vcz:VAB027_2916
ko:K00769	vcz:VAB027_2917
ko:K06901	vcz:VAB027_2918
ko:K01270	vcz:VAB027_2919
ko:K05844	vcz:VAB027_2921
ko:K06987	vcz:VAB027_2922
ko:K03308	vcz:VAB027_2923
ko:K02346	vcz:VAB027_2926
ko:K05952	vcz:VAB027_2927
ko:K03734	vcz:VAB027_2928
ko:K00351	vcz:VAB027_2929
ko:K00350	vcz:VAB027_2930
ko:K00349	vcz:VAB027_2931
ko:K00348	vcz:VAB027_2932
ko:K00347	vcz:VAB027_2933
ko:K02232	vcz:VAB027_453
ko:K02020	vcz:VAB027_454
ko:K02018	vcz:VAB027_455
ko:K02017	vcz:VAB027_456
ko:K00021	vcz:VAB027_457
ko:K03658	vcz:VAB027_463
ko:K00901	vcz:VAB027_464
ko:K08281	vcz:VAB027_465
ko:K01734	vcz:VAB027_466
ko:K11930	vcz:VAB027_467
ko:K07647	vcz:VAB027_468
ko:K00873	vcz:VAB027_469
ko:K07783	vcz:VAB027_470
ko:K08478	vcz:VAB027_471
ko:K08475	vcz:VAB027_472
ko:K08476	vcz:VAB027_474
ko:K08325	vcz:VAB027_475
ko:K00975	vcz:VAB027_477
ko:K03072	vcz:VAB027_481
ko:K03074	vcz:VAB027_482
ko:K00023	vcz:VAB027_483
ko:K00626	vcz:VAB027_484
ko:K03821	vcz:VAB027_486
ko:K02569	vcz:VAB027_489
ko:K02568	vcz:VAB027_490
ko:K02567	vcz:VAB027_491
ko:K02570	vcz:VAB027_492
ko:K02572	vcz:VAB027_493
ko:K07674	vcz:VAB027_494
ko:K07685	vcz:VAB027_495
ko:K03307	vcz:VAB027_500
ko:K03326	vcz:VAB027_503
ko:K03406	vcz:VAB027_504
ko:K02004	vcz:VAB027_1314
ko:K02003	vcz:VAB027_1315
ko:K07109	vcz:VAB027_1318
ko:K07304	vcz:VAB027_1319
ko:K07278	vcz:VAB027_1320
ko:K09800	vcz:VAB027_1321
ko:K01507	vcz:VAB027_1323
ko:K03841	vcz:VAB027_1324
ko:K02558	vcz:VAB027_1325
ko:K03186	vcz:VAB027_1326
ko:K02064	vcz:VAB027_1327
ko:K02063	vcz:VAB027_1328
ko:K02062	vcz:VAB027_1329
ko:K09889	vcz:VAB027_1330
ko:K03592	vcz:VAB027_1331
ko:K06213	vcz:VAB027_1332
ko:K08485	vcz:VAB027_1333
ko:K06958	vcz:VAB027_1334
ko:K02806	vcz:VAB027_1335
ko:K05808	vcz:VAB027_1336
ko:K03092	vcz:VAB027_1337
ko:K06861	vcz:VAB027_1338
ko:K09774	vcz:VAB027_1339
ko:K11719	vcz:VAB027_1340
ko:K03270	vcz:VAB027_1341
ko:K06041	vcz:VAB027_1342
ko:K07301	vcz:VAB027_1343
ko:K02065	vcz:VAB027_1344
ko:K02066	vcz:VAB027_1345
ko:K02067	vcz:VAB027_1346
ko:K07323	vcz:VAB027_1347
ko:K07122	vcz:VAB027_1348
ko:K00790	vcz:VAB027_1350
ko:K00655	vcz:VAB027_1351
ko:K09022	vcz:VAB027_1352
ko:K00610	vcz:VAB027_1353
ko:K00609	vcz:VAB027_1354
ko:K00611	vcz:VAB027_1356
ko:K07175	vcz:VAB027_1357
ko:K03580	vcz:VAB027_1358
ko:K06177	vcz:VAB027_1359
ko:K00018	vcz:VAB027_1360
ko:K01873	vcz:VAB027_1361
ko:K02339	vcz:VAB027_1362
ko:K01255	vcz:VAB027_1363
ko:K00124	vcz:VAB027_2158
ko:K00123	vcz:VAB027_2159
ko:K02379	vcz:VAB027_2165
ko:K05772	vcz:VAB027_2169
ko:K05773	vcz:VAB027_2170
ko:K06857	vcz:VAB027_2171
ko:K03752	vcz:VAB027_2172
ko:K03750	vcz:VAB027_2173
ko:K00884	vcz:VAB027_2175
ko:K05812	vcz:VAB027_2176
ko:K03406	vcz:VAB027_2178
ko:K03327	vcz:VAB027_2183
ko:K03832	vcz:VAB027_2187
ko:K03559	vcz:VAB027_2188
ko:K03561	vcz:VAB027_2189
ko:K03561	vcz:VAB027_2190
ko:K05813	vcz:VAB027_2192
ko:K05814	vcz:VAB027_2193
ko:K05815	vcz:VAB027_2194
ko:K05816	vcz:VAB027_2195
ko:K02444	vcz:VAB027_2196
ko:K01126	vcz:VAB027_2197
ko:K01223	vcz:VAB027_2201
ko:K03782	vcz:VAB027_2202
ko:K02005	vcz:VAB027_2205
ko:K02004	vcz:VAB027_2207
ko:K02004	vcz:VAB027_2208
ko:K03648	vcz:VAB027_2989
ko:K01151	vcz:VAB027_2990
ko:K01733	vcz:VAB027_2992
ko:K00872	vcz:VAB027_2993
ko:K12524	vcz:VAB027_2994
ko:K02553	vcz:VAB027_2995
ko:K07773	vcz:VAB027_2998
ko:K07648	vcz:VAB027_2999
ko:K07139	vcz:VAB027_3001
ko:K00266	vcz:VAB027_3004
ko:K00265	vcz:VAB027_3005
ko:K00266	vcz:VAB027_3006
ko:K01243	vcz:VAB027_3008
ko:K02227	vcz:VAB027_3009
ko:K06858	vcz:VAB027_3010
ko:K07090	vcz:VAB027_3012
ko:K01955	vcz:VAB027_3017
ko:K01956	vcz:VAB027_3018
ko:K00215	vcz:VAB027_3019
ko:K03574	vcz:VAB027_3020
ko:K03070	vcz:VAB027_3021
ko:K02535	vcz:VAB027_3023
ko:K03531	vcz:VAB027_3024
ko:K03590	vcz:VAB027_3025
ko:K03589	vcz:VAB027_3026
ko:K01924	vcz:VAB027_3027
ko:K02563	vcz:VAB027_3028
ko:K03588	vcz:VAB027_3029
ko:K01925	vcz:VAB027_3030
ko:K01000	vcz:VAB027_3031
ko:K01929	vcz:VAB027_3032
ko:K01928	vcz:VAB027_3033
ko:K03587	vcz:VAB027_3034
ko:K03586	vcz:VAB027_3035
ko:K03438	vcz:VAB027_3036
ko:K00382	vcz:VAB027_3037
ko:K00627	vcz:VAB027_3038
ko:K07491	vcz:VAB027_1137
ko:K03406	vcz:VAB027_1140
ko:K09773	vcz:VAB027_1142
ko:K18930	vcz:VAB027_1143
ko:K00101	vcz:VAB027_1144
ko:K03303	vcz:VAB027_1145
ko:K03406	vcz:VAB027_1148
ko:K02030	vcz:VAB027_1149
ko:K10823	vcz:VAB027_1150
ko:K15583	vcz:VAB027_1150
ko:K03406	vcz:VAB027_1153
ko:K02480	vcz:VAB027_1952
ko:K03451	vcz:VAB027_1955
ko:K18454	vcz:VAB027_1956
ko:K02760	vcz:VAB027_1957
ko:K02761	vcz:VAB027_1958
ko:K02759	vcz:VAB027_1959
ko:K01222	vcz:VAB027_1960
ko:K03478	vcz:VAB027_1961
ko:K03669	vcz:VAB027_1963
ko:K03670	vcz:VAB027_1964
ko:K03406	vcz:VAB027_1965
ko:K07491	vcz:VAB027_1967
ko:K02342	vcz:VAB027_1968
ko:K07182	vcz:VAB027_1969
ko:K00832	vcz:VAB027_1970
ko:K00941	vcz:VAB027_1972
ko:K01893	vcz:VAB027_1973
ko:K03406	vcz:VAB027_1974
ko:K01737	vcz:VAB027_1975
ko:K01752	vcz:VAB027_1976
ko:K03837	vcz:VAB027_1977
ko:K01665	vcz:VAB027_1979
ko:K01676	vcz:VAB027_1980
ko:K06918	vcz:VAB027_1982
ko:K08990	vcz:VAB027_1983
ko:K03721	vcz:VAB027_1984
ko:K03790	vcz:VAB027_1985
ko:K11939	vcz:VAB027_1987
ko:K01775	vcz:VAB027_1988
ko:K03406	vcz:VAB027_1989
ko:K14445	vcz:VAB027_1990
ko:K03413	vcz:VAB027_1992
ko:K09824	vcz:VAB027_1993
ko:K07639	vcz:VAB027_1995
ko:K07661	vcz:VAB027_1996
ko:K01439	vcz:VAB027_2782
ko:K07287	vcz:VAB027_2785
ko:K01714	vcz:VAB027_2786
ko:K03567	vcz:VAB027_2787
ko:K03564	vcz:VAB027_2788
ko:K03406	vcz:VAB027_2789
ko:K03548	vcz:VAB027_2790
ko:K00537	vcz:VAB027_2793
ko:K03809	vcz:VAB027_2794
ko:K07491	vcz:VAB027_2796
ko:K09938	vcz:VAB027_2797
ko:K02824	vcz:VAB027_2798
ko:K03976	vcz:VAB027_2799
ko:K11751	vcz:VAB027_2800
ko:K01627	vcz:VAB027_2801
ko:K02493	vcz:VAB027_2804
ko:K02835	vcz:VAB027_2805
ko:K02492	vcz:VAB027_2806
ko:K02494	vcz:VAB027_2807
ko:K00919	vcz:VAB027_2808
ko:K00948	vcz:VAB027_2809
ko:K01056	vcz:VAB027_2810
ko:K06942	vcz:VAB027_2811
ko:K02406	vcz:VAB027_2830
ko:K02406	vcz:VAB027_2831
ko:K02397	vcz:VAB027_2832
ko:K02396	vcz:VAB027_2833
ko:K02395	vcz:VAB027_2834
ko:K02394	vcz:VAB027_2835
