ko:K02463	xoy:AZ54_20535
ko:K02462	xoy:AZ54_20540
ko:K02461	xoy:AZ54_20545
ko:K02460	xoy:AZ54_20550
ko:K02459	xoy:AZ54_20555
ko:K02458	xoy:AZ54_20560
ko:K02457	xoy:AZ54_20565
ko:K02456	xoy:AZ54_20570
ko:K02455	xoy:AZ54_20575
ko:K02454	xoy:AZ54_20585
ko:K01952	xoy:AZ54_20600
ko:K03981	xoy:AZ54_20605
ko:K04763	xoy:AZ54_20615
ko:K11720	xoy:AZ54_20630
ko:K07091	xoy:AZ54_20635
ko:K01255	xoy:AZ54_20640
ko:K02339	xoy:AZ54_20650
ko:K01873	xoy:AZ54_20655
ko:K07481	xoy:AZ54_20680
ko:K08309	xoy:AZ54_20700
ko:K07481	xoy:AZ54_20710
ko:K03789	xoy:AZ54_20730
ko:K17103	xoy:AZ54_20740
ko:K07481	xoy:AZ54_00670
ko:K00627	xoy:AZ54_00680
ko:K01990	xoy:AZ54_00710
ko:K02003	xoy:AZ54_00745
ko:K02004	xoy:AZ54_00750
ko:K02004	xoy:AZ54_00755
ko:K19048	xoy:AZ54_00775
ko:K11068	xoy:AZ54_00790
ko:K06877	xoy:AZ54_00795
ko:K07502	xoy:AZ54_00800
ko:K00265	xoy:AZ54_00860
ko:K00266	xoy:AZ54_00865
ko:K07481	xoy:AZ54_00895
ko:K07481	xoy:AZ54_00900
ko:K01815	xoy:AZ54_00905
ko:K02529	xoy:AZ54_00915
ko:K07095	xoy:AZ54_00925
ko:K07095	xoy:AZ54_00930
ko:K00700	xoy:AZ54_00935
ko:K05343	xoy:AZ54_00940
ko:K16147	xoy:AZ54_00945
ko:K00826	xoy:AZ54_05570
ko:K14645	xoy:AZ54_05580
ko:K14645	xoy:AZ54_05585
ko:K03976	xoy:AZ54_05590
ko:K01424	xoy:AZ54_05595
ko:K03809	xoy:AZ54_05610
ko:K07058	xoy:AZ54_05615
ko:K01512	xoy:AZ54_05625
ko:K03638	xoy:AZ54_05640
ko:K02835	xoy:AZ54_05650
ko:K02492	xoy:AZ54_05655
ko:K02494	xoy:AZ54_05670
ko:K00919	xoy:AZ54_05675
ko:K00948	xoy:AZ54_05685
ko:K02897	xoy:AZ54_05690
ko:K01056	xoy:AZ54_05695
ko:K06942	xoy:AZ54_05700
ko:K02358	xoy:AZ54_05720
ko:K03073	xoy:AZ54_05730
ko:K02601	xoy:AZ54_05735
ko:K02867	xoy:AZ54_05740
ko:K02863	xoy:AZ54_05745
ko:K02864	xoy:AZ54_05750
ko:K02935	xoy:AZ54_05755
ko:K03043	xoy:AZ54_05760
ko:K03046	xoy:AZ54_05765
ko:K02950	xoy:AZ54_05770
ko:K02992	xoy:AZ54_05775
ko:K02355	xoy:AZ54_05780
ko:K02358	xoy:AZ54_05785
ko:K02946	xoy:AZ54_05795
ko:K02906	xoy:AZ54_05800
ko:K02926	xoy:AZ54_05805
ko:K02892	xoy:AZ54_05810
ko:K02886	xoy:AZ54_05815
ko:K02965	xoy:AZ54_05820
ko:K02890	xoy:AZ54_05825
ko:K02982	xoy:AZ54_05830
