ko:K02112	dmg:GY50_0489
ko:K02114	dmg:GY50_0490
ko:K02860	dmg:GY50_0491
ko:K06960	dmg:GY50_0492
ko:K02959	dmg:GY50_0493
ko:K05982	dmg:GY50_0494
ko:K02836	dmg:GY50_0495
ko:K03630	dmg:GY50_0497
ko:K03686	dmg:GY50_1236
ko:K04043	dmg:GY50_1237
ko:K03687	dmg:GY50_1238
ko:K03705	dmg:GY50_1239
ko:K07502	dmg:GY50_1242
ko:K03628	dmg:GY50_1245
ko:K00616	dmg:GY50_1246
ko:K01937	dmg:GY50_1247
ko:K03686	dmg:GY50_1248
ko:K13640	dmg:GY50_1249
ko:K03696	dmg:GY50_1250
ko:K00764	dmg:GY50_1252
ko:K01933	dmg:GY50_1253
ko:K00602	dmg:GY50_1255
ko:K00763	dmg:GY50_1256
ko:K04075	dmg:GY50_1259
ko:K06013	dmg:GY50_1261
ko:K01409	dmg:GY50_1264
ko:K04078	dmg:GY50_1265
ko:K04077	dmg:GY50_1266
ko:K04651	dmg:GY50_1268
ko:K04652	dmg:GY50_1269
ko:K04656	dmg:GY50_1270
ko:K04653	dmg:GY50_1271
ko:K04654	dmg:GY50_1272
ko:K04655	dmg:GY50_1273
ko:K05595	dmg:GY50_1280
ko:K02897	dmg:GY50_1284
ko:K15580	dmg:GY50_0498
ko:K01875	dmg:GY50_0503
ko:K04567	dmg:GY50_0504
ko:K03584	dmg:GY50_0507
ko:K03284	dmg:GY50_0509
ko:K06187	dmg:GY50_0510
ko:K09747	dmg:GY50_0511
ko:K02343	dmg:GY50_0512
ko:K00134	dmg:GY50_0518
ko:K01689	dmg:GY50_0521
ko:K06966	dmg:GY50_0522
ko:K01056	dmg:GY50_0523
ko:K01972	dmg:GY50_0524
ko:K08681	dmg:GY50_0526
ko:K00058	dmg:GY50_0527
ko:K01866	dmg:GY50_0529
ko:K11753	dmg:GY50_0530
ko:K03043	dmg:GY50_0531
ko:K03046	dmg:GY50_0532
ko:K03551	dmg:GY50_0533
ko:K09765	dmg:GY50_0534
ko:K03789	dmg:GY50_0535
ko:K07739	dmg:GY50_0539
ko:K14128	dmg:GY50_0540
ko:K14126	dmg:GY50_0541
ko:K00442	dmg:GY50_0542
ko:K06196	dmg:GY50_0545
ko:K01975	dmg:GY50_1286
ko:K05808	dmg:GY50_1289
ko:K00567	dmg:GY50_1290
ko:K14475	dmg:GY50_1291
ko:K03630	dmg:GY50_1292
ko:K02337	dmg:GY50_1294
ko:K03790	dmg:GY50_1299
ko:K01657	dmg:GY50_1300
ko:K01658	dmg:GY50_1301
ko:K00766	dmg:GY50_1302
ko:K01609	dmg:GY50_1303
ko:K01817	dmg:GY50_1304
ko:K03856	dmg:GY50_1305
ko:K01696	dmg:GY50_1306
ko:K01695	dmg:GY50_1307
ko:K02034	dmg:GY50_1315
ko:K02033	dmg:GY50_1316
ko:K02035	dmg:GY50_1317
ko:K06199	dmg:GY50_1320
ko:K07730	dmg:GY50_1321
ko:K04759	dmg:GY50_1324
ko:K04758	dmg:GY50_1325
ko:K03664	dmg:GY50_1327
ko:K01921	dmg:GY50_0555
ko:K03711	dmg:GY50_0556
ko:K09815	dmg:GY50_0557
ko:K09817	dmg:GY50_0558
ko:K09816	dmg:GY50_0559
ko:K03531	dmg:GY50_0561
ko:K03590	dmg:GY50_0562
ko:K07130	dmg:GY50_0566
ko:K01783	dmg:GY50_0567
ko:K01808	dmg:GY50_0568
ko:K00615	dmg:GY50_0569
ko:K02016	dmg:GY50_0575
ko:K02015	dmg:GY50_0576
ko:K02013	dmg:GY50_0577
ko:K02227	dmg:GY50_0579
ko:K00768	dmg:GY50_0582
ko:K02233	dmg:GY50_0583
ko:K02231	dmg:GY50_0585
ko:K03671	dmg:GY50_0586
ko:K00197	dmg:GY50_0590
ko:K14138	dmg:GY50_0591
ko:K00194	dmg:GY50_0592
ko:K01491	dmg:GY50_0593
ko:K07321	dmg:GY50_0594
ko:K01938	dmg:GY50_0596
ko:K01876	dmg:GY50_0599
ko:K03545	dmg:GY50_0600
ko:K01358	dmg:GY50_0601
ko:K00852	dmg:GY50_0602
ko:K01915	dmg:GY50_1359
ko:K14162	dmg:GY50_1370
ko:K02346	dmg:GY50_1372
ko:K02356	dmg:GY50_0605
ko:K01262	dmg:GY50_0606
ko:K03733	dmg:GY50_0607
ko:K03168	dmg:GY50_0608
ko:K04096	dmg:GY50_0609
ko:K00172	dmg:GY50_0613
ko:K00171	dmg:GY50_0614
ko:K00169	dmg:GY50_0615
ko:K00170	dmg:GY50_0616
ko:K00334	dmg:GY50_0617
ko:K00065	dmg:GY50_0622
ko:K03665	dmg:GY50_0623
ko:K10206	dmg:GY50_0626
ko:K01778	dmg:GY50_0627
ko:K00791	dmg:GY50_0628
ko:K01803	dmg:GY50_0629
ko:K15635	dmg:GY50_0630
ko:K00927	dmg:GY50_0631
ko:K01662	dmg:GY50_0632
ko:K00760	dmg:GY50_0634
ko:K02887	dmg:GY50_0635
ko:K02916	dmg:GY50_0636
ko:K02520	dmg:GY50_0637
ko:K01868	dmg:GY50_0638
ko:K06997	dmg:GY50_0643
ko:K01462	dmg:GY50_0645
ko:K01915	dmg:GY50_1402
ko:K06147	dmg:GY50_1422
ko:K04518	dmg:GY50_1444
ko:K15987	dmg:GY50_0650
ko:K03624	dmg:GY50_0654
ko:K07052	dmg:GY50_0657
ko:K03147	dmg:GY50_0659
ko:K03501	dmg:GY50_0660
ko:K00943	dmg:GY50_0662
ko:K00566	dmg:GY50_0663
ko:K03470	dmg:GY50_0664
ko:K07460	dmg:GY50_0665
ko:K00788	dmg:GY50_0666
ko:K07477	dmg:GY50_0667
ko:K15987	dmg:GY50_0668
ko:K01880	dmg:GY50_0671
ko:K03547	dmg:GY50_0672
ko:K06178	dmg:GY50_0673
ko:K01486	dmg:GY50_0675
ko:K00760	dmg:GY50_0676
ko:K01990	dmg:GY50_0678
ko:K07043	dmg:GY50_0686
ko:K01153	dmg:GY50_0687
ko:K01154	dmg:GY50_0688
