ko:K01805	xcf:J172_01922
ko:K01448	xcf:J172_01926
ko:K09007	xcf:J172_01927
ko:K00970	xcf:J172_01931
ko:K00950	xcf:J172_01932
ko:K00606	xcf:J172_01933
ko:K01918	xcf:J172_01934
ko:K01579	xcf:J172_01935
ko:K01810	xcf:J172_01936
ko:K00648	xcf:J172_02743
ko:K09705	xcf:J172_02745
ko:K13660	xcf:J172_02746
ko:K13659	xcf:J172_02748
ko:K13657	xcf:J172_02751
ko:K13662	xcf:J172_02754
ko:K01991	xcf:J172_02757
ko:K04764	xcf:J172_02760
ko:K01890	xcf:J172_02761
ko:K01889	xcf:J172_02762
ko:K02887	xcf:J172_02763
ko:K02916	xcf:J172_02764
ko:K02520	xcf:J172_02766
ko:K01868	xcf:J172_02767
ko:K16211	xcf:J172_02770
ko:K01187	xcf:J172_02772
ko:K01187	xcf:J172_02776
ko:K03201	xcf:J172_02781
ko:K03201	xcf:J172_02785
ko:K03194	xcf:J172_02790
ko:K03196	xcf:J172_02791
ko:K03204	xcf:J172_02793
ko:K03203	xcf:J172_02794
ko:K03205	xcf:J172_02796
ko:K10716	xcf:J172_03605
ko:K07157	xcf:J172_03610
ko:K02558	xcf:J172_03611
ko:K00939	xcf:J172_03612
ko:K15987	xcf:J172_03615
ko:K01507	xcf:J172_03617
ko:K02014	xcf:J172_03619
ko:K07506	xcf:J172_03620
ko:K03147	xcf:J172_03622
ko:K02014	xcf:J172_03624
ko:K00681	xcf:J172_03626
ko:K00053	xcf:J172_03627
ko:K01652	xcf:J172_03628
ko:K11258	xcf:J172_03629
ko:K13051	xcf:J172_00357
ko:K01284	xcf:J172_00358
ko:K06996	xcf:J172_00361
ko:K01638	xcf:J172_00365
ko:K01637	xcf:J172_00366
ko:K01968	xcf:J172_00373
ko:K01969	xcf:J172_00374
ko:K00253	xcf:J172_00375
ko:K07004	xcf:J172_00384
ko:K07018	xcf:J172_00389
ko:K06916	xcf:J172_00390
ko:K06181	xcf:J172_00400
ko:K03579	xcf:J172_00403
ko:K07127	xcf:J172_00405
ko:K13485	xcf:J172_00407
ko:K07483	xcf:J172_01228
ko:K02343	xcf:J172_01235
ko:K09747	xcf:J172_01236
ko:K06187	xcf:J172_01237
ko:K07285	xcf:J172_01239
ko:K03924	xcf:J172_01242
ko:K06287	xcf:J172_01246
ko:K07040	xcf:J172_01247
ko:K02911	xcf:J172_01248
ko:K00648	xcf:J172_01249
ko:K00645	xcf:J172_01251
ko:K00059	xcf:J172_01252
ko:K02078	xcf:J172_01253
ko:K09458	xcf:J172_01254
ko:K01657	xcf:J172_01255
ko:K07082	xcf:J172_01256
ko:K02341	xcf:J172_01257
ko:K02676	xcf:J172_01258
ko:K02688	xcf:J172_01261
ko:K03417	xcf:J172_01262
ko:K01659	xcf:J172_01263
ko:K07746	xcf:J172_01265
ko:K02014	xcf:J172_01268
ko:K06894	xcf:J172_01270
