ko:K08311	ahd:AI20_15975
ko:K03573	ahd:AI20_15980
ko:K02884	ahd:AI20_15990
ko:K00554	ahd:AI20_15995
ko:K02860	ahd:AI20_16000
ko:K02959	ahd:AI20_16005
ko:K03106	ahd:AI20_16010
ko:K13771	ahd:AI20_16025
ko:K05916	ahd:AI20_16030
ko:K00024	ahd:AI20_16040
ko:K09998	ahd:AI20_16045
ko:K09999	ahd:AI20_16050
ko:K09997	ahd:AI20_16055
ko:K10000	ahd:AI20_16060
ko:K03402	ahd:AI20_16065
ko:K07223	ahd:AI20_16070
ko:K02010	ahd:AI20_16075
ko:K02011	ahd:AI20_16080
ko:K02012	ahd:AI20_16085
ko:K04752	ahd:AI20_16090
ko:K15034	ahd:AI20_16095
ko:K00567	ahd:AI20_16100
ko:K03317	ahd:AI20_16105
ko:K00432	ahd:AI20_16115
ko:K00865	ahd:AI20_16125
ko:K03299	ahd:AI20_16130
ko:K02647	ahd:AI20_16135
ko:K09910	ahd:AI20_16140
ko:K07052	ahd:AI20_16150
ko:K02030	ahd:AI20_16175
ko:K11065	ahd:AI20_16180
ko:K01534	ahd:AI20_16185
ko:K00832	ahd:AI20_16210
ko:K00324	ahd:AI20_20640
ko:K00325	ahd:AI20_20645
ko:K06956	ahd:AI20_20660
ko:K05807	ahd:AI20_20670
ko:K06180	ahd:AI20_20675
ko:K05810	ahd:AI20_20680
ko:K03695	ahd:AI20_20685
ko:K06897	ahd:AI20_20690
ko:K01914	ahd:AI20_20695
ko:K03718	ahd:AI20_20700
ko:K02030	ahd:AI20_20705
ko:K13938	ahd:AI20_20720
ko:K07711	ahd:AI20_20735
ko:K07715	ahd:AI20_20745
ko:K17247	ahd:AI20_20765
ko:K07812	ahd:AI20_20795
ko:K03532	ahd:AI20_20800
ko:K03498	ahd:AI20_20825
ko:K03499	ahd:AI20_20830
ko:K00075	ahd:AI20_20835
ko:K03524	ahd:AI20_20840
ko:K00867	ahd:AI20_20845
ko:K02358	ahd:AI20_20860
ko:K03073	ahd:AI20_20870
ko:K02601	ahd:AI20_20875
ko:K02867	ahd:AI20_20880
ko:K02863	ahd:AI20_20885
ko:K02864	ahd:AI20_20890
ko:K02935	ahd:AI20_20895
ko:K03043	ahd:AI20_20900
ko:K03046	ahd:AI20_20905
ko:K07235	ahd:AI20_20920
ko:K07236	ahd:AI20_20925
ko:K07237	ahd:AI20_20930
ko:K07507	ahd:AI20_04540
ko:K07112	ahd:AI20_04560
ko:K07112	ahd:AI20_04565
ko:K03800	ahd:AI20_04585
ko:K07787	ahd:AI20_04600
ko:K07798	ahd:AI20_04605
ko:K06076	ahd:AI20_04615
ko:K18138	ahd:AI20_04620
ko:K03585	ahd:AI20_04625
ko:K01142	ahd:AI20_04630
ko:K13993	ahd:AI20_04645
ko:K03734	ahd:AI20_04655
ko:K09975	ahd:AI20_04670
ko:K00316	ahd:AI20_04690
ko:K02297	ahd:AI20_04695
ko:K02298	ahd:AI20_04700
ko:K02299	ahd:AI20_04705
ko:K02300	ahd:AI20_04710
ko:K03119	ahd:AI20_04730
ko:K15552	ahd:AI20_04735
ko:K10831	ahd:AI20_04740
ko:K15551	ahd:AI20_04745
ko:K03317	ahd:AI20_04755
ko:K07038	ahd:AI20_04775
ko:K01695	ahd:AI20_04810
ko:K01696	ahd:AI20_04815
ko:K13498	ahd:AI20_04820
ko:K00766	ahd:AI20_04825
ko:K01658	ahd:AI20_04830
ko:K03406	ahd:AI20_09280
ko:K09858	ahd:AI20_09285
ko:K00111	ahd:AI20_09290
ko:K00112	ahd:AI20_09295
ko:K00113	ahd:AI20_09300
ko:K03385	ahd:AI20_09310
ko:K04013	ahd:AI20_09315
ko:K04014	ahd:AI20_09320
ko:K04015	ahd:AI20_09325
ko:K07262	ahd:AI20_09350
ko:K01667	ahd:AI20_09355
ko:K06876	ahd:AI20_09360
ko:K00285	ahd:AI20_09365
ko:K07168	ahd:AI20_09370
ko:K02030	ahd:AI20_09380
ko:K00549	ahd:AI20_09385
ko:K03576	ahd:AI20_09390
ko:K02014	ahd:AI20_09400
ko:K13653	ahd:AI20_09405
ko:K00023	ahd:AI20_09410
ko:K07118	ahd:AI20_09420
ko:K01761	ahd:AI20_09430
ko:K07263	ahd:AI20_09435
ko:K00133	ahd:AI20_09440
ko:K09136	ahd:AI20_09450
ko:K06212	ahd:AI20_09455
ko:K00656	ahd:AI20_09460
ko:K05306	ahd:AI20_09465
ko:K00823	ahd:AI20_09470
ko:K03430	ahd:AI20_09475
ko:K02012	ahd:AI20_09485
ko:K02010	ahd:AI20_09490
ko:K02011	ahd:AI20_09495
