ko:K01687	paly:O3E_00285
ko:K02502	paly:O3E_00305
ko:K09014	paly:O3E_00310
ko:K09013	paly:O3E_00325
ko:K09015	paly:O3E_00330
ko:K11717	paly:O3E_00335
ko:K00566	paly:O3E_00340
ko:K02518	paly:O3E_00345
ko:K01990	paly:O3E_00360
ko:K01992	paly:O3E_00365
ko:K00033	paly:O3E_00375
ko:K03073	paly:O3E_00395
ko:K02601	paly:O3E_00400
ko:K02867	paly:O3E_00405
ko:K02863	paly:O3E_00410
ko:K02864	paly:O3E_00415
ko:K02935	paly:O3E_00420
ko:K03043	paly:O3E_00425
ko:K03046	paly:O3E_00430
ko:K02950	paly:O3E_00435
ko:K02992	paly:O3E_00440
ko:K02355	paly:O3E_00445
ko:K02358	paly:O3E_00450
ko:K02946	paly:O3E_00455
ko:K02906	paly:O3E_00460
ko:K02926	paly:O3E_00465
ko:K02892	paly:O3E_00470
ko:K02886	paly:O3E_00475
ko:K02965	paly:O3E_00480
ko:K02890	paly:O3E_00485
ko:K02982	paly:O3E_00490
ko:K02878	paly:O3E_00495
ko:K02904	paly:O3E_00500
ko:K02961	paly:O3E_00505
ko:K02874	paly:O3E_00510
ko:K02895	paly:O3E_00515
ko:K02931	paly:O3E_00520
ko:K02954	paly:O3E_00525
ko:K02994	paly:O3E_00530
ko:K02933	paly:O3E_00550
ko:K02881	paly:O3E_00555
ko:K02988	paly:O3E_00560
ko:K01462	paly:O3E_01240
ko:K00014	paly:O3E_01245
ko:K01886	paly:O3E_01250
ko:K01883	paly:O3E_01260
ko:K01358	paly:O3E_01290
ko:K01358	paly:O3E_01295
ko:K03544	paly:O3E_01300
ko:K06131	paly:O3E_01310
ko:K06213	paly:O3E_01315
ko:K01876	paly:O3E_01320
ko:K03640	paly:O3E_01325
ko:K03644	paly:O3E_01345
ko:K00928	paly:O3E_01360
ko:K01872	paly:O3E_01365
ko:K01869	paly:O3E_01370
ko:K07042	paly:O3E_01375
ko:K01696	paly:O3E_01380
ko:K01695	paly:O3E_01385
ko:K03386	paly:O3E_01395
ko:K01873	paly:O3E_01400
ko:K03596	paly:O3E_01410
ko:K04077	paly:O3E_01415
ko:K04078	paly:O3E_01420
ko:K07390	paly:O3E_01430
ko:K03593	paly:O3E_01445
ko:K01657	paly:O3E_01465
ko:K01658	paly:O3E_01470
ko:K00766	paly:O3E_01475
ko:K01609	paly:O3E_01480
ko:K02897	paly:O3E_01500
ko:K00948	paly:O3E_01505
ko:K02835	paly:O3E_01510
ko:K06443	paly:O3E_01515
ko:K10027	paly:O3E_01525
ko:K02434	paly:O3E_01530
ko:K02433	paly:O3E_01535
ko:K00765	paly:O3E_01545
ko:K02871	paly:O3E_01550
ko:K02996	paly:O3E_01555
ko:K03438	paly:O3E_01560
ko:K03555	paly:O3E_01570
ko:K02876	paly:O3E_00565
ko:K03076	paly:O3E_00570
ko:K02919	paly:O3E_00575
ko:K02952	paly:O3E_00580
ko:K02948	paly:O3E_00585
ko:K02986	paly:O3E_00590
ko:K03040	paly:O3E_00595
ko:K02879	paly:O3E_00600
ko:K02888	paly:O3E_00605
ko:K02899	paly:O3E_00610
ko:K03979	paly:O3E_00615
ko:K02968	paly:O3E_00620
ko:K01870	paly:O3E_00625
ko:K02836	paly:O3E_00635
ko:K04567	paly:O3E_00640
ko:K03089	paly:O3E_00650
ko:K02902	paly:O3E_00655
ko:K02913	paly:O3E_00660
ko:K01885	paly:O3E_00700
ko:K00164	paly:O3E_00705
ko:K00658	paly:O3E_00710
