ko:K08986	ssuy:YB51_5920
ko:K00036	ssuy:YB51_5925
ko:K03110	ssuy:YB51_5940
ko:K03529	ssuy:YB51_5955
ko:K03685	ssuy:YB51_5960
ko:K08483	ssuy:YB51_5985
ko:K11189	ssuy:YB51_5990
ko:K00031	ssuy:YB51_5995
ko:K01647	ssuy:YB51_6000
ko:K02337	ssuy:YB51_6330
ko:K01990	ssuy:YB51_6340
ko:K01488	ssuy:YB51_6350
ko:K03086	ssuy:YB51_6395
ko:K03282	ssuy:YB51_6405
ko:K01784	ssuy:YB51_6410
ko:K02970	ssuy:YB51_6415
ko:K00688	ssuy:YB51_6450
ko:K03784	ssuy:YB51_6455
ko:K03783	ssuy:YB51_6460
ko:K00537	ssuy:YB51_6465
ko:K01839	ssuy:YB51_6470
ko:K01807	ssuy:YB51_6475
ko:K09952	ssuy:YB51_6495
ko:K03650	ssuy:YB51_6505
ko:K07192	ssuy:YB51_6520
ko:K03744	ssuy:YB51_6525
ko:K07862	ssuy:YB51_6550
ko:K03431	ssuy:YB51_6565
ko:K01928	ssuy:YB51_6580
ko:K01681	ssuy:YB51_6005
ko:K01727	ssuy:YB51_6050
ko:K03210	ssuy:YB51_6055
ko:K02747	ssuy:YB51_6060
ko:K02746	ssuy:YB51_6065
ko:K02745	ssuy:YB51_6070
ko:K02744	ssuy:YB51_6080
ko:K01876	ssuy:YB51_9785
ko:K02348	ssuy:YB51_9790
ko:K00244	ssuy:YB51_9810
ko:K02986	ssuy:YB51_9820
ko:K02939	ssuy:YB51_9835
ko:K03495	ssuy:YB51_9845
ko:K00566	ssuy:YB51_9865
ko:K01752	ssuy:YB51_9870
ko:K01752	ssuy:YB51_9875
ko:K16785	ssuy:YB51_9885
ko:K16787	ssuy:YB51_9890
ko:K16786	ssuy:YB51_9895
ko:K00995	ssuy:YB51_9900
ko:K03629	ssuy:YB51_10000
ko:K00088	ssuy:YB51_10015
ko:K01867	ssuy:YB51_10020
ko:K09710	ssuy:YB51_1885
ko:K01462	ssuy:YB51_1915
ko:K12996	ssuy:YB51_3450
ko:K12997	ssuy:YB51_3455
ko:K01992	ssuy:YB51_3460
ko:K01990	ssuy:YB51_3465
ko:K07272	ssuy:YB51_3470
ko:K09153	ssuy:YB51_3510
ko:K05337	ssuy:YB51_3525
ko:K00945	ssuy:YB51_3535
ko:K02520	ssuy:YB51_3540
ko:K02916	ssuy:YB51_3545
ko:K02887	ssuy:YB51_3550
ko:K06969	ssuy:YB51_3565
ko:K03785	ssuy:YB51_3570
ko:K01736	ssuy:YB51_3575
ko:K04517	ssuy:YB51_3580
ko:K00931	ssuy:YB51_3610
ko:K00147	ssuy:YB51_3615
ko:K00286	ssuy:YB51_3620
ko:K09861	ssuy:YB51_3640
ko:K01104	ssuy:YB51_3660
ko:K04086	ssuy:YB51_1920
ko:K00705	ssuy:YB51_1925
ko:K00688	ssuy:YB51_1930
ko:K03486	ssuy:YB51_1935
ko:K16924	ssuy:YB51_1970
ko:K07146	ssuy:YB51_1980
ko:K07032	ssuy:YB51_1985
ko:K16786	ssuy:YB51_1990
ko:K16787	ssuy:YB51_1990
ko:K16785	ssuy:YB51_1995
ko:K03704	ssuy:YB51_2000
ko:K03501	ssuy:YB51_2005
ko:K05366	ssuy:YB51_2010
ko:K03700	ssuy:YB51_2015
ko:K07444	ssuy:YB51_2035
ko:K07173	ssuy:YB51_2045
ko:K00942	ssuy:YB51_2055
ko:K03060	ssuy:YB51_2060
ko:K04066	ssuy:YB51_2065
ko:K00604	ssuy:YB51_2070
ko:K03500	ssuy:YB51_2075
ko:K11617	ssuy:YB51_2095
ko:K11618	ssuy:YB51_2100
ko:K03768	ssuy:YB51_2105
ko:K07570	ssuy:YB51_2110
ko:K01738	ssuy:YB51_2115
ko:K10563	ssuy:YB51_2915
ko:K00859	ssuy:YB51_2920
ko:K03075	ssuy:YB51_2930
ko:K12573	ssuy:YB51_2935
ko:K03664	ssuy:YB51_2940
ko:K16868	ssuy:YB51_2950
ko:K17686	ssuy:YB51_2960
ko:K11065	ssuy:YB51_2965
ko:K02003	ssuy:YB51_2975
ko:K02004	ssuy:YB51_2980
ko:K06929	ssuy:YB51_3010
ko:K00773	ssuy:YB51_3020
ko:K02529	ssuy:YB51_3035
ko:K01868	ssuy:YB51_3070
ko:K10040	ssuy:YB51_3075
ko:K10040	ssuy:YB51_3080
ko:K10039	ssuy:YB51_3085
ko:K10041	ssuy:YB51_3090
ko:K07668	ssuy:YB51_3095
ko:K07652	ssuy:YB51_3100
ko:K00687	ssuy:YB51_3130
ko:K06187	ssuy:YB51_3135
ko:K01921	ssuy:YB51_3140
