ko:K01835	sauw:SAI5S5_1018490
ko:K00963	sauw:SAI5S5_1018540
ko:K13732	sauw:SAI5S5_1018550
ko:K03299	sauw:SAI5S5_1018560
ko:K00851	sauw:SAI5S5_1018570
ko:K11476	sauw:SAI5S5_1018580
ko:K03535	sauw:SAI5S5_1018630
ko:K01990	sauw:SAI5S5_1018650
ko:K04041	sauw:SAI5S5_1018670
ko:K06999	sauw:SAI5S5_1018690
ko:K15975	sauw:SAI5S5_1018700
ko:K07104	sauw:SAI5S5_1018710
ko:K03778	sauw:SAI5S5_1018730
ko:K16917	sauw:SAI5S5_1018750
ko:K16916	sauw:SAI5S5_1018760
ko:K07284	sauw:SAI5S5_1018770
ko:K03823	sauw:SAI5S5_1018780
ko:K01752	sauw:SAI5S5_1018790
ko:K01752	sauw:SAI5S5_1018800
ko:K00158	sauw:SAI5S5_1018850
ko:K00054	sauw:SAI5S5_1018880
ko:K06885	sauw:SAI5S5_1004620
ko:K13953	sauw:SAI5S5_1004640
ko:K01887	sauw:SAI5S5_1004650
ko:K05362	sauw:SAI5S5_1007170
ko:K02837	sauw:SAI5S5_1007180
ko:K02250	sauw:SAI5S5_1007250
ko:K03800	sauw:SAI5S5_1007260
ko:K07052	sauw:SAI5S5_1007270
ko:K02003	sauw:SAI5S5_1007290
ko:K02016	sauw:SAI5S5_1007300
ko:K02548	sauw:SAI5S5_1007320
ko:K02552	sauw:SAI5S5_1007330
ko:K02551	sauw:SAI5S5_1007340
ko:K08680	sauw:SAI5S5_1007350
ko:K01661	sauw:SAI5S5_1007360
ko:K13715	sauw:SAI5S5_1007370
ko:K00841	sauw:SAI5S5_1007390
ko:K02828	sauw:SAI5S5_1007460
ko:K02827	sauw:SAI5S5_1007470
ko:K02826	sauw:SAI5S5_1007480
ko:K01491	sauw:SAI5S5_1007490
ko:K01588	sauw:SAI5S5_1007500
ko:K01589	sauw:SAI5S5_1007510
ko:K01923	sauw:SAI5S5_1007520
ko:K01952	sauw:SAI5S5_1007530
ko:K01952	sauw:SAI5S5_1007540
ko:K00764	sauw:SAI5S5_1007550
ko:K01933	sauw:SAI5S5_1007560
ko:K11175	sauw:SAI5S5_1007570
ko:K00602	sauw:SAI5S5_1007580
ko:K01945	sauw:SAI5S5_1007590
ko:K16785	sauw:SAI5S5_1007600
ko:K16786	sauw:SAI5S5_1007610
ko:K16787	sauw:SAI5S5_1007610
ko:K16925	sauw:SAI5S5_1007620
ko:K06969	sauw:SAI5S5_1007640
ko:K01409	sauw:SAI5S5_1015000
ko:K06925	sauw:SAI5S5_1015020
ko:K01687	sauw:SAI5S5_1015030
ko:K01652	sauw:SAI5S5_1015040
ko:K00053	sauw:SAI5S5_1015050
ko:K01649	sauw:SAI5S5_1015060
ko:K00052	sauw:SAI5S5_1015070
ko:K01703	sauw:SAI5S5_1015080
ko:K01704	sauw:SAI5S5_1015090
ko:K01754	sauw:SAI5S5_1015100
ko:K06959	sauw:SAI5S5_1015140
ko:K03090	sauw:SAI5S5_1015150
ko:K04757	sauw:SAI5S5_1015160
ko:K07315	sauw:SAI5S5_1015170
ko:K01775	sauw:SAI5S5_1015180
ko:K09167	sauw:SAI5S5_1015190
ko:K08981	sauw:SAI5S5_1015200
ko:K01548	sauw:SAI5S5_1015220
ko:K01547	sauw:SAI5S5_1015230
ko:K01546	sauw:SAI5S5_1015240
ko:K07646	sauw:SAI5S5_1015250
ko:K07667	sauw:SAI5S5_1015260
ko:K01929	sauw:SAI5S5_1015290
ko:K01921	sauw:SAI5S5_1015300
ko:K05837	sauw:SAI5S5_1015310
ko:K06131	sauw:SAI5S5_1015320
ko:K06950	sauw:SAI5S5_1015330
ko:K03217	sauw:SAI5S5_1015340
ko:K00788	sauw:SAI5S5_1015350
ko:K00878	sauw:SAI5S5_1015360
ko:K00941	sauw:SAI5S5_1015370
ko:K03707	sauw:SAI5S5_1015380
ko:K00790	sauw:SAI5S5_1015410
ko:K02112	sauw:SAI5S5_1015420
ko:K02115	sauw:SAI5S5_1015430
ko:K02111	sauw:SAI5S5_1015440
ko:K02113	sauw:SAI5S5_1015450
ko:K02109	sauw:SAI5S5_1015460
ko:K07457	sauw:SAI5S5_1004660
ko:K02016	sauw:SAI5S5_1004670
ko:K02015	sauw:SAI5S5_1004680
ko:K07025	sauw:SAI5S5_1004690
ko:K09936	sauw:SAI5S5_1004740
ko:K05565	sauw:SAI5S5_1004760
ko:K05568	sauw:SAI5S5_1004770
ko:K05569	sauw:SAI5S5_1004780
ko:K05571	sauw:SAI5S5_1004790
ko:K03316	sauw:SAI5S5_1004800
ko:K03709	sauw:SAI5S5_1004850
